geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
101,3.2236724759838857,0.6538537227623394,POINT (3946127.7796320566 2702317.1956665036),9885968.175228862
102,2.783276322537832,0.8230264224104097,POINT (3946201.4532867107 2702930.5064210305),7786424.03747639
103,2.973901792428701,1.3428222000986978,POINT (3946774.6976118134 2702077.7234797967),6377784.369958238
104,2.435520979925476,0.7268495175122518,POINT (3945279.8442662763 2701807.293948333),3823247.9658013056
105,3.784821829277263,1.0595898422775165,POINT (3944777.073594395 2703274.6664094543),3104364.6183104124
106,2.687040409568339,1.197325543718193,POINT (3945967.32860152 2703602.3576714667),3012242.0328791137
107,1.6523360779043936,2.0625097998575708,POINT (3946929.3439249666 2703986.917152591),3247058.9986554435
108,2.1624222261217407,3.9333431897511213,POINT (3947058.1461210535 2706111.560509504),2945954.365925711
109,0.2457575557921904,3.3772143656258087,POINT (3948260.2750019785 2704445.8825208223),5036958.258682148
110,2.6704067313804947,2.726979744722301,POINT (3948149.0548460707 2701852.754335175),3639690.158033525
111,2.4244396793683793,2.386834792060827,POINT (3946728.9193629557 2700453.8481180654),992334.8216692116
112,1.336057461833906,1.9141657959803322,POINT (3944555.8391818227 2700834.8900805293),2918822.8613695824
113,2.6804145986919927,2.8140596948758123,POINT (3942833.8556702416 2701599.663185679),733251.5914584635
114,3.10776467115361,2.259032349264299,POINT (3943246.381113996 2702343.7019780427),1251217.9693437896
115001,7.783987838014369,9.592164123045267,POINT (3936780.0672766822 2698503.4532575924),65468.90562964865
115002,6.127191598614797,7.480509528141965,POINT (3938405.1811637026 2700129.015293018),32834.25277636731
115003,6.145903826653568,4.904708750198044,POINT (3941066.289440149 2704597.2311736513),101306.10571405994
115004,5.8059098322853835,4.233730066424087,POINT (3942840.0901363217 2705793.835119196),94880.17414196482
115006,6.552645995545899,5.773515469314774,POINT (3942699.9858337063 2707549.099082309),88118.63611556262
115008,3.9210859980902852,4.512124843641208,POINT (3945489.31773422 2707012.112198716),234266.1075884106
116,4.875954792180935,2.7686092690807427,POINT (3943344.0285071796 2704236.946806032),1123168.806469101
117,3.2017464722889453,2.78740591290287,POINT (3945396.096096214 2705285.468668297),1492092.0749779635
118001,1.1222126372889953,3.8093612461202215,POINT (3949151.2521241424 2703586.0897888243),1249570.531942948
118002,0.9190419968281486,4.290864713451503,POINT (3949396.37714626 2704297.1547299125),932247.8487593463
118003,1.7123918486324328,4.137044200488908,POINT (3949581.978682663 2703172.74419439),1247623.5969860624
118004,1.949363871458399,4.332006860317891,POINT (3949797.558579055 2703045.228115041),717909.0664969836
119,0.5581175437097763,5.464570866732231,POINT (3950753.827260692 2700997.058260495),1653487.1712571608
120001,2.2691243997466297,7.637867926963885,POINT (3952705.6791708074 2699967.172694964),369106.40580356267
120002,2.404829287435186,7.787100699243906,POINT (3952676.276365346 2699476.75756375),1705752.2086324398
120003,3.244064058336004,8.380134961810242,POINT (3952571.7167883944 2698003.614380094),2071272.340868276
120005,4.022664870707234,9.383142668301643,POINT (3953976.922068674 2698476.921753765),1764805.3319840154
120006,3.055975506065157,8.441074041827354,POINT (3953327.9476326727 2699341.6829101965),936208.2569444487
121001,5.7564173268686485,8.424409777243824,POINT (3946628.342811933 2694151.495787048),87636.31195756936
121003,4.547098907353553,6.409790610138371,POINT (3948000.7956255325 2696598.183592729),434599.35368488
121005,8.02917693039647,11.214199967350824,POINT (3950517.3966392446 2692470.8419160815),201456.59705253431
121006,1.6948075878973357,6.4047569803805064,POINT (3950743.992959017 2698822.8475931077),302135.07113639085
121007,3.2822754234764373,7.614557016855381,POINT (3951024.794758614 2697259.9502446894),271880.32861234964
121008,4.021742876459679,8.678566429540254,POINT (3952025.8987899786 2696778.9720980492),210413.12886165155
121009,5.771949807401497,11.068057809689813,POINT (3955151.874585763 2697083.0616895393),52726.82603143861
121010,6.039805225764246,11.307944306925938,POINT (3956513.407694996 2699935.9299166473),66650.16489096687
122001,2.297033046772835,4.53383689963384,POINT (3946266.2123078345 2698031.3765283027),3567730.2143197316
122002,2.5529964621149372,3.3021505491591685,POINT (3947051.5786474687 2699585.0725652203),1070285.134819147
122003,3.2351349146250366,5.012154357146881,POINT (3947255.8338479158 2697805.456486688),1778330.3297416333
122004,3.400546418094247,4.6695523775504215,POINT (3947713.788862931 2698388.569801511),531648.3676998334
123,0.6326175581113417,3.7327343080999396,POINT (3944041.7042384706 2699063.915180504),2197575.027479757
124001,3.574955139523464,6.5462612792681565,POINT (3941935.4911957416 2697009.2975202794),108778.43714334517
124003,2.1999114677708254,5.226841992913908,POINT (3942953.4273908627 2697935.479744236),636154.0498017574
124004,3.164776567148452,6.312520572361011,POINT (3943102.561430746 2696660.461980333),282184.3904206043
124005,2.0183536272536564,5.180469867579834,POINT (3943830.8294916456 2697595.804055409),1907887.4248711416
