grid_id,Num. Bldgs,Sum Bldg Footprint (m2),Sum Bldg Volume (m3),geometry,area_cell,centerpoint,dist2center,DistGroup,group_mean,group_SD,cutoff,isCenter_dist,isCenter_regional,isCenter_regional_dist,contig_group,type
628356,3508,402865.7663965888,3220387.240693861,"POLYGON ((3818000 3088000, 3818000 3089000, 3819000 3089000, 3819000 3088000, 3818000 3088000))",1000000.0,POINT (2.876573668003946 50.68792276504469),14577.379737113251,14-15,450465.81453741936,623131.1141529862,1073596.9286904056,True,True,True,0,subcenter
630222,97,168743.79941162036,1758761.1368028698,"POLYGON ((3820000 3084000, 3820000 3085000, 3821000 3085000, 3821000 3084000, 3820000 3084000))",1000000.0,POINT (2.9101970697358306 50.65390182764728),11067.971810589328,11-12,599767.9797737065,906265.56511165,1506033.5448853564,True,True,True,1,subcenter
638553,4035,419180.36814685666,4517652.786777113,"POLYGON ((3829000 3080000, 3829000 3081000, 3830000 3081000, 3830000 3080000, 3829000 3080000))",1000000.0,POINT (3.0423071653353198 50.625884523029704),1500.0,1-2,2844048.071045862,771926.3298585828,3615974.400904445,True,True,True,2,subcenter
637620,120,291978.4312635457,2455672.2386996695,"POLYGON ((3828000 3074000, 3828000 3075000, 3829000 3075000, 3829000 3074000, 3828000 3074000))",1000000.0,POINT (3.036217592327424 50.5713720673926),6041.522986797286,6-7,664503.2714500217,652780.5899360392,1317283.8613860607,True,True,True,3,subcenter
637624,513,205478.6110804416,3403950.8453188413,"POLYGON ((3828000 3078000, 3828000 3079000, 3829000 3079000, 3829000 3078000, 3828000 3078000))",1000000.0,POINT (3.030894362021611 50.60714452876304),2915.4759474226503,2-3,1780597.184622694,741641.7096501287,2522238.894272823,True,True,True,4,subcenter
639487,1245,237816.835730806,1917082.995172019,"POLYGON ((3830000 3086000, 3830000 3087000, 3831000 3087000, 3831000 3086000, 3830000 3086000))",1000000.0,POINT (3.048406299841154 50.680395979544514),5522.68050859363,5-6,857831.0009099878,623647.1155735684,1481478.116483556,True,True,True,5,subcenter
641341,3168,322811.8878997631,3223587.3343877182,"POLYGON ((3832000 3083000, 3832000 3084000, 3833000 3084000, 3833000 3083000, 3832000 3083000))",1000000.0,POINT (3.0805735890319808 50.65526714137818),2549.5097567963926,2-3,1780597.184622694,741641.7096501287,2522238.894272823,True,True,True,6,subcenter
642267,4036,405725.15193293727,3818486.738209944,"POLYGON ((3833000 3080000, 3833000 3081000, 3834000 3081000, 3834000 3080000, 3833000 3080000))",1000000.0,POINT (3.0986246760242815 50.629283390693125),1500.0,1-2,2844048.071045862,771926.3298585828,3615974.400904445,True,True,True,7,subcenter
643192,559,312958.65076736704,3128913.5962806833,"POLYGON ((3834000 3075000, 3834000 3076000, 3835000 3076000, 3835000 3075000, 3834000 3075000))",1000000.0,POINT (3.1192845301689385 50.58540796867891),5147.815070493501,5-6,857831.0009099878,623647.1155735684,1481478.116483556,True,True,True,8,subcenter
644126,203,269256.583692035,3301957.149925653,"POLYGON ((3835000 3078000, 3835000 3079000, 3836000 3079000, 3836000 3078000, 3835000 3078000))",1000000.0,POINT (3.129414522953806 50.613083920997525),3807.886552931954,3-4,1434730.1605761545,801989.6786912272,2236719.8392673815,True,True,True,9,subcenter
647871,2655,452682.5639792529,4720617.688667714,"POLYGON ((3839000 3087000, 3839000 3088000, 3840000 3088000, 3840000 3087000, 3839000 3087000))",1000000.0,POINT (3.1739706367728653 50.69694393742597),9924.716620639603,9-10,570326.868095108,1053800.062052869,1624126.930147977,True,True,True,10,subcenter
647878,212,246371.62669896326,2171658.4430680433,"POLYGON ((3839000 3094000, 3839000 3095000, 3840000 3095000, 3840000 3094000, 3839000 3094000))",1000000.0,POINT (3.1647959040113247 50.75955579765796),15443.4452114805,15-16,489017.3161258771,511857.6038393446,1000874.9199652217,True,True,True,11,subcenter
648803,1398,237598.62169031095,1952049.4151590653,"POLYGON ((3840000 3082000, 3840000 3083000, 3841000 3083000, 3841000 3082000, 3840000 3082000))",1000000.0,POINT (3.1945939884344203 50.65305540262436),8631.338250816034,8-9,481578.4059319604,719032.2468057115,1200610.652737672,True,True,True,12,subcenter
651619,642,321670.2516886519,2529845.86961095,"POLYGON ((3843000 3084000, 3843000 3085000, 3844000 3085000, 3844000 3084000, 3843000 3084000))",1000000.0,POINT (3.2342718905219874 50.673442612341844),12020.815280171308,12-13,578821.0171780778,806525.751913186,1385346.7690912639,True,True,True,13,subcenter
