geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
101,3.4010631624181094,1.24934755951623,POINT (3917746.794924814 2528503.2294952283),12334878.89833662
102,2.210513182773981,0.0958375830922009,POINT (3918483.5007488583 2529594.406657841),15008900.372515377
103,1.5693961886821917,0.9288470756981924,POINT (3918941.270361444 2530317.3355236035),17676865.38767148
104,1.6305893847036097,1.8268515491371564,POINT (3919048.3320611594 2531242.6182982195),13381415.86589134
105,2.293437316809673,2.021074091790364,POINT (3918446.044562107 2531520.3537549716),12315804.844909487
106,2.4054342156319715,2.9654205422028097,POINT (3919044.389840645 2532415.022931903),7535795.1583930515
107,3.0941587615598602,2.948443212899598,POINT (3918071.318149158 2532417.1131706624),4798428.441525339
108,3.7685801645684633,4.54957885194438,POINT (3917964.952333256 2534018.007494944),3409200.027426179
109,2.6125413807290268,4.6142259945711315,POINT (3916133.7004186376 2533461.276034338),6018982.942473888
110,3.6823091281207088,3.534004293656967,POINT (3916655.2073194785 2532514.2870323644),7668292.322343889
111,3.9852770885444606,2.710456585551017,POINT (3916633.3922065687 2531465.2863017023),4186848.501417381
112,2.169116895558856,1.1633745490128082,POINT (3918336.200275358 2530651.7855666303),8837216.327575097
113,3.068823478772244,1.133485740534859,POINT (3917474.9150903835 2529983.726009299),4018435.1169300135
114,4.43353318809389,2.5779508857677667,POINT (3916068.7646280373 2530357.2778636757),3803164.1483793748
115,5.4059426325049476,3.3464028960286005,POINT (3915157.976424699 2529671.1454489087),3238661.11156636
116,0.3979627039369049,2.249670930469112,POINT (3920658.2368542054 2530134.8487824257),27475042.21168462
117,0.7869780842559658,1.6088929259052687,POINT (3920072.752468279 2529839.096034406),14476325.962365957
118,1.4474135312348704,1.829029934503159,POINT (3920277.7070740135 2529069.7581374263),9640999.934046404
119,2.187020993582551,2.7676874803623344,POINT (3921030.1538678342 2528378.2088456233),9735740.605555095
120,2.8307928846746853,3.493533197860201,POINT (3921601.6611583554 2527892.3706076024),7934509.717729904
121,3.102745552365282,4.3572114318115265,POINT (3922397.696484427 2527552.3723207978),7094451.671622277
122,2.909096058609136,4.419551331285575,POINT (3922844.1604668857 2528687.1631111866),5645982.142689438
123,1.9360439615721914,3.1829390998767972,POINT (3921631.278031218 2528928.8614837565),8247952.080251991
124,1.5337632337766764,3.353572315911759,POINT (3921843.4735155185 2529760.0617793454),8889832.346126365
125,0.8204410608028422,2.9465793515894636,POINT (3921311.7733496507 2530381.0564711797),11643814.436194744
126,1.1857068139249127,2.7630552408086078,POINT (3920229.879285672 2531654.5282362415),6915045.5926696975
127,0.4593721124015016,2.262806887898937,POINT (3920276.617439849 2530901.4012574377),13954482.662868459
128,0.6819887972644423,1.576693446218266,POINT (3919838.8361351835 2530332.75448151),13686746.353279201
129,1.7621712124438151,0.8399568907046355,POINT (3919291.1481724074 2529217.8437533234),14130187.68357277
130,3.244737561467505,1.6496263960317854,POINT (3918620.833827313 2527854.8050472173),7207367.325125295
131,3.9348201405002,2.6878019919126483,POINT (3919005.305554406 2526860.12389601),7303051.989251646
132,2.080648266863089,1.7376518334998283,POINT (3919921.953972503 2528501.2603970263),11798252.237119038
133,3.601676437810542,3.0994353428302275,POINT (3920203.325010262 2526910.563120329),4205851.34609012
134,3.4509298532843937,3.6246037848722468,POINT (3921150.2802315154 2527027.3966570133),6855157.7234506225
135,2.6538792045693147,4.49356999161854,POINT (3922013.2141263345 2526698.3044826216),7144957.777776539
136,2.8530041958547145,4.977712613416748,POINT (3923350.5688192556 2530617.8573215907),7306346.970089605
137,2.4489296852049085,4.684563409732401,POINT (3922719.426028624 2531535.0868111146),8008391.059145835
138,1.6766243119455695,3.8958183898631815,POINT (3921833.318634105 2531516.528653485),9698318.844421934
139,1.706615118704491,3.9187644564391175,POINT (3922157.207310737 2530907.6752293557),12077457.785993177
140,2.0365258576331553,4.0494780115935045,POINT (3922501.294391292 2530122.828516201),9174868.825367386
141,2.902707438448203,5.102678151920392,POINT (3923599.003782722 2529693.609777312),7853169.270247805
142,2.6813186451486897,5.903582102814979,POINT (3924387.2000124305 2529939.497051543),7027495.940539965
143,2.3894878372415795,6.650770173957534,POINT (3925140.8920324896 2529862.3491680943),4984961.934796224
144,1.679393109885595,5.988807176079437,POINT (3923848.7545140455 2532193.8144963486),3141721.9688823614
145,2.5740515572267726,4.717452263654719,POINT (3922183.598658312 2532447.1099036755),3853722.6848155446
146,1.5575237684621357,3.6557189223937128,POINT (3921323.633345307 2531821.933584498),11799809.778679643
201,1.037532974264927,7.548632334995347,POINT (3925412.15329091 2526466.192654123),3237748.621085696
202,0.5283019690864548,7.329864058334122,POINT (3925674.4615408937 2527998.6643573483),3176812.0265724314
203,0.7935262230025983,6.529325561220626,POINT (3924840.574660462 2527941.4092071624),2508620.4213444823
204,1.5799607081726597,5.7032724511736514,POINT (3923959.038428872 2527848.874297815),4489592.126585574
205,2.939473110590623,4.263363162582197,POINT (3921000.484739829 2526046.908411011),4875668.854331874
206,0.7419933296116233,6.478231887740969,POINT (3922769.0114810686 2524627.318052053),11748214.856862905
207,1.912918492859593,8.185025457723304,POINT (3922989.8888719454 2522656.35041362),2902746.346255089
208,2.607741393539994,6.977783027495513,POINT (3921295.6539671384 2523106.739886816),3873381.357073677
209,3.6630889384595826,5.702568443743157,POINT (3919876.0511440374 2523965.9445155864),2796870.505094673
210,6.0277222396834835,5.6611426399590234,POINT (3917499.4817694933 2523927.9717103746),2404461.1446104744
211,6.325595323248368,4.481530896724197,POINT (3916851.3770919493 2525332.7273084973),4615150.264125772
212,6.616695381843278,4.594423168489383,POINT (3916013.8367946153 2525636.3596482924),2834719.6473190025
213,5.34709974193081,3.2560882809190494,POINT (3916560.2958800667 2526884.7258613575),2112746.7911743266
214,5.0403844859233295,2.8100970852779277,POINT (3915877.3174240054 2528490.9500833647),2324730.9474380375
215,7.15818715529131,5.2629297986148895,POINT (3913345.85560488 2528435.4692961676),1025871.9154814915
216,6.868465568077539,7.889197164403484,POINT (3910617.87117473 2529833.8818364004),1194538.9232385478
217,4.746411953143865,4.65879754513279,POINT (3914019.90113854 2530777.931437159),1565496.1349866511
218,2.4730364878734217,5.26444950335367,POINT (3914593.269535213 2533028.722948726),2206936.7659860905
219,4.767436070372969,9.167742088365248,POINT (3910211.4320016224 2533417.5420272225),1359938.4120405714
220001,1.8124825079720255,8.99731538540119,POINT (3913227.1130581307 2536790.2913139765),1396448.2055018002
220002,1.1557992991106827,8.35940010304688,POINT (3913981.478701203 2536532.960639385),1867385.5367231516
220003,1.6870261048878359,8.51594147429835,POINT (3912855.5541355037 2535876.6362665943),467893.9759655062
220004,4.555793885884768,11.106415875324283,POINT (3910135.6781825847 2536806.8867604723),352849.36185485695
221001,1.5486948614225022,5.772383063985746,POINT (3915736.972163754 2534568.1439811355),3349483.1469340343
221002,0.8694431974785671,6.458607371311824,POINT (3915267.480843479 2535091.4603709127),2860205.0365981045
221003,8.044957078355099,14.521981172391968,POINT (3914788.830552995 2543539.7706002244),220611.0482094289
221004,1.908400730254633,8.791614602111562,POINT (3914647.702759394 2537402.6763366647),848601.642765484
221005,6.822982005648955,13.843119886214895,POINT (3912762.0116252974 2542097.914811424),530029.7440185074
222001,3.5862862809099916,7.313056770602626,POINT (3917848.557096713 2536783.98390126),557281.4813859675
222002,4.338186912348481,6.700066128503923,POINT (3918782.297058501 2536194.1164089884),829321.2391993873
222003,2.7556510015633564,7.820977073439682,POINT (3916730.4999952577 2537118.1724919095),445301.3742177131
222004,2.2811397456601545,6.1624744469510695,POINT (3916779.6463907855 2535417.471991365),1195815.3284021919
223001,7.159957143904315,12.22840479364198,POINT (3919559.5950864176 2541682.4111755434),993299.9864429568
223002,4.4776327470846145,7.827655157488414,POINT (3920072.48797385 2537168.081040042),955574.1447862325
223003,6.364748649350705,10.791912752489047,POINT (3919362.672165722 2540257.3778213756),969728.0030467683
223004,8.528574046280092,13.38085162130761,POINT (3918836.494620541 2542876.619957291),271172.5392918325
223005,5.6812926015911165,11.60687857549137,POINT (3916285.049136962 2540893.57814475),393876.47740574885
223006,11.175705043403568,17.322425391763513,POINT (3915760.3575589 2546604.408225605),543146.5805199223
223007,9.13724906864739,14.687903017106205,POINT (3917444.2157079703 2544149.908346765),307153.61571636
223008,5.454527383323036,9.36786833796493,POINT (3918794.2336223735 2538863.246433418),304372.4625517288
224001,7.604523055208276,13.441712330593324,POINT (3920276.4647533377 2542823.8058886556),2514282.3125250954
224002,8.429629344403576,14.706707883442911,POINT (3920725.476927226 2544037.3487684415),566195.6876446554
224003,7.567474312010479,13.714551993670549,POINT (3920690.2373087704 2543038.530087065),2694030.513888959
224004,10.180474452835456,15.547909700692173,POINT (3918959.99895115 2545041.1034687315),1375983.7880695504
224005,7.30025082627865,14.387049646473317,POINT (3922157.77108673 2543414.305883053),289030.3250718723
224451,9.282901253506624,14.607138146357345,POINT (3919158.6935464037 2544092.279041969),4470061.988994432
225001,4.319236881608897,11.508325277294007,POINT (3922458.255987108 2540306.190828804),234033.9552102976
225002,6.337208664997464,12.102225034934179,POINT (3920520.964298812 2541432.2903961944),327009.56354357913
225003,4.50342465257245,10.230327606165815,POINT (3921058.9149969076 2539405.1278117993),582360.0742540082
225004,4.823311670852547,9.407893070917538,POINT (3920232.095007697 2538747.069747662),3121883.318962228
