geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
101001,3.8251321010952655,1.7094290122591673,POINT (3917524.5136516443 2528096.2286752732),7787868.79396248
101002,3.509291433397544,1.3247876530885938,POINT (3917592.6071912893 2528534.7535980507),23146710.768886488
101003,2.700721816649686,0.5179399423529637,POINT (3918207.212899643 2529072.7559271925),16977373.063503258
101004,3.037829114954388,0.9494919681400502,POINT (3918098.4938328555 2528639.576967238),12250783.863073958
101351,2.6832401285118253,0.5064070115047129,POINT (3918227.628186644 2529073.0788637344),0.0
101551,3.622234358485919,1.4988223399926883,POINT (3917648.042018564 2528266.8592924047),0.0
102001,2.3159434706606032,0.28024958847284603,POINT (3918320.942394807 2529715.588046658),17200422.845772367
102002,2.243909778244166,0.1104581138304264,POINT (3918446.0688581686 2529596.3972346685),20822888.008724045
102003,1.945502883525764,0.29358347588662526,POINT (3918742.7267540568 2529665.15138564),17111004.330215428
102004,2.2202213031620457,0.13849858536774612,POINT (3918579.243877009 2529386.411857549),10044201.595165564
103001,1.425656796463359,1.3756371119509923,POINT (3919094.7610529154 2530740.4179754066),19644741.388979275
103002,1.5739499274099398,1.0787029351498318,POINT (3918926.07586666 2530490.9890908333),14098054.915729588
103003,1.5874023562760922,0.9721762418440212,POINT (3918917.2877658447 2530378.064670558),35638809.08731524
103004,1.4257169016232427,0.9159737187072307,POINT (3919109.876315312 2530183.41695427),21610174.924022097
103005,1.7588022911660501,0.768714283615673,POINT (3918763.27120036 2530222.2256744923),16622403.644713147
103006,1.7167661687270406,0.5288801852683912,POINT (3918927.234669051 2529811.7447480396),7600386.543687058
103007,1.795268976358754,0.5492100020865512,POINT (3918784.8891848517 2529969.5420947545),23610355.57979821
103251,1.6883293336069831,0.6727419776557255,POINT (3918869.4093874437 2530062.244140004),0.0
104001,1.6193800442340296,1.5725638521273964,POINT (3918960.886623066 2531003.5094245453),15048399.266757252
104002,1.5204909880228317,1.7956380144480133,POINT (3919139.0734232888 2531178.0646705586),21460495.750132967
104251,1.4658472767925654,1.7543661979404181,POINT (3919171.9909347054 2531120.564389387),0.0
104751,1.6596931090852518,1.9092868608812181,POINT (3919060.0485169045 2531325.3005165854),26064389.620251928
104752,1.7686999071493013,2.318079755845179,POINT (3919207.5738875126 2531707.4494214295),5701062.921115147
105001,2.5053598129074706,2.1529966405352656,POINT (3918269.3391459673 2531640.6050790776),10792470.276083771
105002,2.8051285905455674,2.0779760901097832,POINT (3917871.918446617 2531480.7822175515),8955594.571656672
105003,1.9191037989043653,1.7454928048319214,POINT (3918725.5147156473 2531230.863439081),20348727.729553085
105751,2.084592501682189,2.2674188095680132,POINT (3918827.062355079 2531743.706369798),11040334.924515698
105752,2.0747142281367474,2.0685933749144247,POINT (3918714.9629260637 2531557.393859026),21412920.443538643
105753,2.1700064043679257,1.8977066878498203,POINT (3918524.31526652 2531397.5509060165),12312456.621667381
105754,1.7237717173590925,2.1026738715462265,POINT (3919105.687569045 2531513.549100168),15661584.081984151
106001,1.9051988561080249,2.6531114367451982,POINT (3919344.794748759 2532015.0193097186),3263255.5899519036
106002,2.2775852852596183,3.141531285332718,POINT (3919418.2947864225 2532504.3224697015),4602595.997687256
106003,2.247685752572219,2.937521863040569,POINT (3919220.3171610557 2532347.837404651),11815385.726437123
106004,2.4196075251120637,2.9796299993172988,POINT (3919040.85810972 2532430.1309591862),7898285.182305571
106005,2.198248460371598,2.638955652274566,POINT (3918986.0427505802 2532093.8098194124),6788754.1262434935
106006,2.541249805612005,2.881093004772917,POINT (3918776.804053772 2532367.7650562706),8091528.013489218
106851,2.793660007455022,3.2592794821019635,POINT (3918833.505832605 2532742.1715873885),17203867.733395267
107001,2.9322525140106075,3.1174215278669606,POINT (3918471.4078414794 2532617.2904052846),6037985.223174327
107002,2.6217424989836386,2.7163265821862685,POINT (3918518.090923471 2532216.2663381156),7892720.298246338
107003,2.489537489444295,2.5293103353105413,POINT (3918535.3719713707 2532029.0629877388),10386634.60927273
107004,3.1078056432221985,3.107093394687892,POINT (3918202.485084674 2532592.816554287),5466245.277911935
107005,3.1888743799012444,2.8827428033421585,POINT (3917877.911531532 2532314.820066651),6260399.809229151
107006,2.8140027414567133,2.5687653967516257,POINT (3918147.7373883864 2532044.4973405385),8850645.815581573
107007,3.6423869726988833,3.5486984263584858,POINT (3917838.3353249514 2532986.4681812734),2796696.6662477786
107008,3.3865479898373247,2.774547753096931,POINT (3917511.1716607227 2532092.3606519266),3608987.0697372374
108001,4.86181584358488,5.829700461962849,POINT (3919356.204578213 2535266.4825670817),2290812.360761281
108002,4.078093440692683,5.392702973942269,POINT (3918532.6066868673 2534892.604395757),3394532.2874977216
108003,3.6143998564669526,4.7284828244921515,POINT (3917867.0619470053 2534185.9299229276),2495957.4613424772
108004,4.231767698153436,4.762075542355293,POINT (3918561.537444983 2534261.6779200155),1230962.966320474
108451,3.677449549496173,3.684748010163302,POINT (3917115.2718735356 2532914.6589748),8209789.779044311
108452,3.617739612617342,4.149603266106436,POINT (3917538.6755845454 2533536.7143364786),9256677.519844562
109751,2.6962784505314463,4.706700858401191,POINT (3916596.603586707 2533804.6620151107),5748831.721005394
109752,2.610401866414225,4.655000923039854,POINT (3916282.3753336594 2533592.8198632165),7333988.461970156
109753,2.9652012881218397,4.2461145541084155,POINT (3916122.0208919337 2533017.769771917),4958396.972279011
109754,2.708927673732714,4.502295646997319,POINT (3915985.7837250517 2533234.8872293225),7835506.410893931
109755,2.2006821067237285,5.010662027903956,POINT (3915743.2413949035 2533684.1386151877),4901019.411879938
109851,2.067335196613674,5.157040880771275,POINT (3915476.9475269886 2533678.064670558),6889021.1538251415
110001,3.4539550768617375,3.835662167833194,POINT (3916836.263284729 2532956.050405883),7271792.735861558
110002,3.881847155229394,3.347316091730745,POINT (3916860.497700662 2532418.3141072243),7682442.6915287385
110003,3.630324049731526,3.588959585596703,POINT (3916368.5444422425 2532387.4778115773),7610815.690822667
110004,3.99613038393283,3.015820455030666,POINT (3916789.588256675 2531983.8809724455),8881692.763745975
110251,3.6220682990582382,3.6174487212901263,POINT (3916767.869320962 2532675.792587985),0.0
110551,4.009730105256674,3.116051964518008,POINT (3916839.560490451 2532136.801183386),0.0
111001,3.88530315334564,2.6723845485815967,POINT (3916751.165889997 2531520.697511056),5746062.649561445
111002,3.2040032579107973,2.136615120119907,POINT (3917406.945385771 2531335.8528758693),3362268.875752683
111003,4.225703305609471,3.081232102159903,POINT (3916337.140648816 2531694.545669239),6757121.0286801085
111004,3.726768912473783,2.166189733521704,POINT (3916787.5731383828 2530826.6394405514),2080506.0972340256
111005,4.600362554075639,3.0208894357462155,POINT (3915939.2824948234 2531102.653687384),1944543.5088381695
111251,3.7627572181089297,2.394343428999875,POINT (3916800.3939240924 2531186.481438597),0.0
111551,3.870198039449321,2.2022625493843897,POINT (3916633.484608235 2530668.794519462),0.0
112001,2.1741987270894607,1.5322907684903122,POINT (3918390.9896060172 2531028.408235127),7930321.844532991
112002,2.031629988880792,1.1300346476593859,POINT (3918472.5143069727 2530629.70033265),7255055.379650635
112003,2.1924508681914765,0.8790230526923635,POINT (3918312.1067016334 2530358.7069555987),14222916.07978124
112004,2.282978795243432,1.1841118837889923,POINT (3918222.0217570197 2530651.02087286),8124385.660777435
113001,2.6786947887166073,0.6464552581519579,POINT (3917918.9506691075 2529783.3479766324),5141269.68779357
113002,2.725788228578174,1.3825749898107742,POINT (3917780.1891765567 2530680.417714584),3076801.9215997714
113003,3.259129068270424,1.4342041660946465,POINT (3917253.808358156 2530209.8929368868),3698963.7707268894
113004,2.8752614329838773,0.9661344933751538,POINT (3917669.6354070716 2529993.8729614993),4408611.181519345
113005,3.489794987885904,1.317977248244581,POINT (3917185.17920958 2529408.839065548),2608328.4215922863
113006,3.5506079477543295,1.434027755119649,POINT (3917068.6453670585 2529587.5186677817),5723151.070812303
113007,3.878861401215026,1.823590517046781,POINT (3916693.9213484637 2529752.115605086),3528527.4374788883
114001,4.752381852877413,3.181909997009989,POINT (3915635.4544256935 2530885.2544465885),3281104.0354395844
114002,4.000351035286371,2.2219091012754157,POINT (3916499.7812026017 2530467.4734192034),4586564.079421919
114003,4.4154043416234225,2.336937154420667,POINT (3916167.7108618384 2529647.3181581656),3343187.4340793095
114004,5.008116110280775,3.114435238403559,POINT (3915495.1585395997 2530318.9228608785),3646763.8633352243
114005,4.3276153312089205,2.400045898183213,POINT (3916187.262876218 2530141.4571767994),3276659.0048596547
114006,4.730175135789848,2.9385783336269746,POINT (3915770.6625571446 2530589.0177895194),3769563.1565362755
115001,5.679938492434881,3.966886656367871,POINT (3914546.061357934 2529820.248277508),3486148.9765821686
115002,5.109264344652962,3.113714878946302,POINT (3915419.811473126 2529955.6961556626),3929378.0487637045
115003,5.081447780254603,2.97721485103485,POINT (3915522.885319363 2529475.5777241583),3639056.636225821
115004,5.683460679102285,3.5752991304396096,POINT (3914926.4686867525 2529387.5819171052),2304433.201033442
116001,0.2178196644344839,2.2996841041820977,POINT (3920642.601359051 2530335.3480683044),39575508.88307892
116002,1.032866673136907,2.2086769618392954,POINT (3920708.6466410533 2529488.426896535),13835912.80361447
116251,0.30471718656946484,2.445010064115612,POINT (3920780.6509854714 2530381.308853975),0.0
116551,0.2297895983049212,2.345028701478828,POINT (3920681.8364471546 2530359.505281326),0.0
117001,0.9592491445567544,1.544168827028543,POINT (3920035.7998656114 2529660.549491294),13574078.969566341
117002,0.8843163612067427,1.7904046392776558,POINT (3920284.742135583 2529642.2824016586),13605275.8221083
117003,0.5171827961809082,1.7976838853132986,POINT (3920202.6119801304 2530076.870693164),17379574.92952308
117751,0.9883663095748316,1.3042464312507482,POINT (3919756.8566768994 2529848.382041965),15935571.064287273
117752,0.6813643946462153,1.6503373251834375,POINT (3920085.0634518256 2529959.5510206497),10845181.082926106
118001,1.216113771602923,1.3974455217454205,POINT (3919896.334675435 2529444.291289512),13976613.85600049
118002,1.55254649069775,1.3843735862076012,POINT (3919825.7760574 2529101.492695406),12718266.787838029
118003,1.470751913672321,2.1814025581002148,POINT (3920631.29153513 2529035.119894198),15013992.020767404
118004,1.3762497187856537,1.745941025314461,POINT (3920211.3849719195 2529154.3534438703),13502827.52857267
118005,1.788487933020468,2.1125331379915253,POINT (3920460.0476112957 2528711.958363685),8307832.219147143
118251,1.111042081607199,1.4238281701352935,POINT (3919922.929596664 2529550.5768821565),0.0
118951,1.7986215308581008,2.085396431242993,POINT (3920427.030080869 2528702.8592703496),1819158.9806875421
119001,1.957551805493246,2.8011959682079235,POINT (3921172.8192423554 2528661.7064058464),9827122.7600984
119002,2.0946049220657463,2.6805056265561653,POINT (3920970.028490643 2528458.8133359426),8985896.180647578
119003,2.444032023574213,2.8645579513791652,POINT (3921003.8646400925 2528108.4705820917),9284938.100137167
