geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
005-001,4.537035328967812,26.256780340268904,POINT (3185320.6578024956 2034265.7260185152),2627894.970817519
005-002,3.3977098037806397,27.99985959588854,POINT (3186994.618207361 2034795.10217285),853060.3508840739
005-003,2.346156059606133,30.531577917307853,POINT (3189560.0078456425 2034845.3885210105),1324568.48935717
005-004,2.9152950752210014,32.051511597629656,POINT (3191085.3525947323 2034946.5491055737),1715093.709173386
005-005,3.483867726716876,33.5235881429229,POINT (3192753.6961897 2033745.3093761753),1654283.8670561833
005-006,1.4373287754395792,31.553738005795754,POINT (3190864.312109922 2032952.2902557282),4491717.518032751
005-007,3.659373121925906,26.49030193966437,POINT (3185860.5815473804 2032118.365394381),5564594.058579056
005-008,2.7508501627693422,27.410091205174666,POINT (3186749.3884372455 2032463.7695038759),3091969.740315166
005-009,1.4773926485162818,29.12419553872953,POINT (3188356.994283062 2033436.0699594244),8525111.53320624
005-010,1.3547850347776011,29.92570065284485,POINT (3189115.30012309 2033799.0182813043),4291784.3251936585
005-011A,1.3398637113217176,28.862115819603137,POINT (3188180.502419287 2032732.724943676),6991922.261787053
005-011B,0.9933133731467997,29.380456319028422,POINT (3188666.3931899825 2033040.158443019),16231203.241091833
005-012,0.5540663518279859,29.954998425260214,POINT (3189250.44721774 2032994.6846784512),3287271.88342658
005-013,1.0527429105320223,30.825416091208748,POINT (3190080.4755761563 2033378.2458318498),2473095.7544765323
005-014,4.2938699549668184,25.95447786484005,POINT (3185396.3461055034 2031236.139286017),2781267.516831381
005-015,1.5724515304243618,28.5854137435384,POINT (3187958.6982313395 2032188.5635322288),7161561.443139906
005-016,1.951787108930419,28.292926585765827,POINT (3187704.541344413 2031734.6235340273),4490167.470459092
005-017,2.326990385161509,28.0578968039618,POINT (3187499.3512369483 2031311.6024320398),4169177.349712919
005-018,0.7582638377689336,29.393510587866462,POINT (3188753.185435867 2032368.729079889),9923406.62011312
005-019,0.02881803239053841,30.12508177774767,POINT (3189474.071044356 2032512.576495938),9014410.249707043
005-020,0.939664517862258,29.451601048312444,POINT (3188860.77070595 2031811.265424305),8384201.573405002
005-021,1.7277903319765449,28.84172624896553,POINT (3188287.412833823 2031269.1905932704),7437150.432475083
005-022,1.1608102350131546,29.655879266953388,POINT (3189094.149964342 2031412.4494723151),6651798.1551867835
005-023,0.333779902676752,30.322921234738644,POINT (3189699.557885608 2032232.4450080404),10793613.999987604
005-024A,0.6470635755272244,30.399531617596608,POINT (3189802.4182659243 2031927.9558905037),7428439.486397844
005-024B,1.029062895607308,30.66032362054407,POINT (3190084.627763655 2031653.1347090125),1655487.8622061722
005-025,1.0485818954695587,31.13609529469862,POINT (3190515.437287208 2032238.4448294262),4501062.3674158715
005-026,3.6419965654723074,29.383640846923395,POINT (3188877.74806292 2028911.5544438139),237599.0235920776
005-027,2.215503292043755,28.551940567594706,POINT (3188019.940855786 2030851.4006652052),1846462.267557559
005-028,1.9429294396537506,29.351955227674875,POINT (3188828.3530535726 2030676.852944267),7160622.828771901
005-029,1.6668293863403938,30.835057563719065,POINT (3190296.779914226 2031035.9433168576),18193.95075154186
006-001,3.797255347437241,15.54635874658852,POINT (3164171.621709944 2044327.8528748031),90592.72889788206
006-002,2.514693093029403,15.866701146803113,POINT (3165599.9578275746 2044147.27687264),10100760.102262013
006-003A,1.921845633013099,15.714238105838577,POINT (3166064.243512922 2043777.5343231964),8272609.628727755
006-003B,1.5428233585763451,15.873979752410468,POINT (3166555.411663815 2043719.859332428),1527853.0397485134
006-004A,1.1364623162727883,15.950021640875123,POINT (3167056.5913772467 2043546.3916043127),6374544.903580187
006-004B,0.8302503634539488,15.651997191374537,POINT (3167060.926623965 2043204.649016513),13117882.022850208
006-005,2.4773448026136626,13.889832932350668,POINT (3165036.4722576845 2042238.7179036394),154132.6292297599
006-006A,1.8122044885136226,14.90337263958089,POINT (3165764.8064032914 2043022.6741720522),6150064.486306116
006-006B,1.1393474904243435,15.418317574533376,POINT (3166593.2071433393 2043189.811147377),5460831.169758768
006-007,0.43297125609732307,15.436431006869087,POINT (3167247.24581156 2042851.538659087),6368871.666879734
006-008A,1.5843532846310109,14.059325547345031,POINT (3166010.041015311 2041961.3001257973),8677534.1144108
006-008B,2.187338181573635,12.791488479903046,POINT (3165084.2366755526 2041008.191790325),7708041.786217338
006-009,0.5330281022184272,15.045134299868256,POINT (3166970.3035808085 2042559.503455784),6295469.064940219
006-010,0.4138117432488948,14.851611071477173,POINT (3167258.5153150545 2042163.956393027),8933991.95585527
006-011,0.25834928429185255,15.313516793608555,POINT (3167741.0126922047 2042406.9557369293),6498004.442780787
006-012,2.250199809661462,12.60227220524594,POINT (3165461.204673793 2040603.2114080684),4625176.825831533
006-013A,0.9673245719508146,14.692819660193729,POINT (3167841.8963326304 2041595.111208361),5830650.5754659595
006-013B,1.424897146709078,13.843366048847948,POINT (3166840.805989488 2041236.7521481495),5715429.18904086
006-014,1.4275306952239613,15.152941588123431,POINT (3168613.154035496 2041606.2819353591),2316408.9957916965
006-015,2.562406460577952,15.4605005130578,POINT (3169672.9923419664 2041142.0489143687),37574.936179298544
006-016A,2.7401766510853443,13.121655928685596,POINT (3167673.2123811515 2039765.3033897397),990147.5753898957
006-016B,2.1942207620996204,13.078043003462655,POINT (3166500.4600354317 2040546.6632107955),3716727.866775129
006-016C,2.0333784587007164,12.375597700065109,POINT (3165309.6962065087 2040427.161041274),5695004.501322735
006-017,1.5993985167587916,13.968881208571988,POINT (3167569.7713434156 2040902.124042659),2426251.707906732
006-018,4.099245072582688,13.282957676830328,POINT (3169068.7567999396 2038712.8094492438),586442.4263691547
006-019,4.742097858369617,14.780027327957505,POINT (3170768.384570363 2039064.1370227311),4522.476839322421
