geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
1,1.9207356811417604,1.2178689068272919,POINT (3159591.2728382084 2030714.443882286),18377800.901839565
10,0.5274914074858535,2.256998324174089,POINT (3161227.9778146697 2030951.9414958372),20529464.248335592
101,12.417526553277296,14.964003126360012,POINT (3146596.374938742 2037077.4566870541),2842324.941626687
102,14.715833474457227,17.556689169820633,POINT (3145103.4282178185 2039548.68426841),744998.6119931372
105,0.46515445398711464,16.70097442720992,POINT (3144558.4772867244 2022038.5359461438),7693488.464193478
106,1.6028533353357939,17.65039250075264,POINT (3144052.709323414 2020960.8216915391),2016758.32496122
107,1.5927816325278008,17.53665631755703,POINT (3143106.6366855013 2023271.6812831261),1412063.9345235496
11,0.5217051019840924,2.7409461439667226,POINT (3162013.17520445 2030593.9543664453),24141942.099285584
110,0.7671548732899226,20.837899230029056,POINT (3150438.908256308 2010735.2814907006),2435540.520105667
111,0.38000406863914765,20.089168054293907,POINT (3150179.3502466837 2011703.9284871726),1505358.6664857285
112,1.658103735048914,20.78678980908892,POINT (3151610.429636438 2010268.637332585),1695230.6353530718
115,7.378628799776151,9.330742336637119,POINT (3151450.5409902376 2034219.0001274494),2413103.2160611735
116,5.903125517695424,8.790239898218294,POINT (3151200.0206825137 2032394.5916460752),1135730.1573113538
117,8.282117034632,16.873725227911518,POINT (3172879.5022858027 2019218.3891509522),728470.0086457828
118,6.15517707325013,14.638435575311384,POINT (3172255.3227104917 2022317.6926657406),1570631.4657699163
119,14.061404349891099,17.755909228294346,POINT (3146318.6258314056 2041396.3728737351),1216827.443243469
12,2.408287375150276,6.374094788222464,POINT (3162297.268818601 2035227.5100633458),10167142.00506977
120,17.345115788164858,21.741101162279712,POINT (3144537.1472068313 2045273.031288831),987488.9849767211
122,6.123452985414217,14.791622958166812,POINT (3174168.7284288565 2027597.2346395245),6092975.022847852
123,3.6900948659078128,17.343647547987416,POINT (3176837.9490907295 2029944.557753372),1351466.9868021822
125,1.754156189201529,16.623509501282044,POINT (3169176.206245832 2043017.1040103764),1203729.5831695702
126,3.29840885233144,18.545628608521884,POINT (3169532.812847396 2045097.5320757597),1136676.994597823
127,1.6545878469779292,19.238452351819678,POINT (3178674.611747709 2031065.9863402508),6789813.12227349
128,2.930669598265827,22.948131873901076,POINT (3181995.103788804 2034037.2967759338),97344411.00119594
129,2.6016077225983527,20.935129850406625,POINT (3180427.387848963 2030069.2975254303),3135159.3167637303
13,2.680024051189273,4.21500593962777,POINT (3161556.219377039 2033179.4343239942),13249520.221700326
14,2.4261291091586954,4.442043705866612,POINT (3162640.8264712715 2032641.171972718),9583902.544556769
15,1.8428936552630857,6.0961651219289,POINT (3160987.3981527984 2035411.9265835152),7409062.539981639
16,2.456154028157465,4.598477373698479,POINT (3159917.10505871 2034079.5215390273),9733722.799660569
17,3.0423675968268107,4.443167651042996,POINT (3160799.1907862304 2033748.9812986467),22435393.142096877
18,2.9449170673655307,2.8201243489365235,POINT (3159169.779148153 2032300.7241085959),18462873.34390927
19,2.302964310827555,3.241774715042528,POINT (3160511.3797431877 2032579.9698566964),26979172.473660693
2,2.27334371960234,0.5367534297838231,POINT (3159284.259280464 2029991.4877275364),15453903.441887192
20,1.5766831059244362,2.167069043388234,POINT (3160294.472112554 2031516.1850860438),17376036.586611684
21,1.8187137962003814,8.439270563261347,POINT (3158282.3784280736 2037850.9691262457),1927065.6340486174
22,0.9726968656502112,9.218822878607837,POINT (3161749.0991519643 2038440.2599666775),5529017.302691587
23,1.3233703704775526,11.957033310729253,POINT (3163362.022550887 2040816.1578024668),3303609.921104181
24,6.0420922353467805,8.531140485325247,POINT (3153526.681828714 2035590.9628142798),2550033.977488418
25,4.160076510165812,5.355945347669233,POINT (3156324.23760004 2033812.8509997705),15282588.989584185
26,1.9758783843476038,4.072686162637537,POINT (3155435.6004281817 2029240.329632144),20703408.337719183
27,0.42585564265912235,5.209674675307834,POINT (3154534.274632878 2027924.4741192649),75013017.78748728
28,1.881150099398538,7.265740433225636,POINT (3152774.169471309 2026751.5117350917),8618607.875034777
29,2.8076613716755947,3.018200159209461,POINT (3157306.701845275 2027426.60293105),10020149.299815625
3,2.5522181786811875,0.38429502001994587,POINT (3159331.048050841 2029154.836413729),15267388.948082672
30,1.7230392967260943,4.721897849449092,POINT (3155879.964854442 2026468.2241432525),10257735.717574595
31,2.415411252109824,6.500287713947288,POINT (3154720.1887618885 2025094.6458834598),4423807.329062758
32,2.574345927255534,3.515076152391421,POINT (3158783.857855676 2026058.6484070595),9250939.726277208
33,1.124498625603555,5.011445670240009,POINT (3158371.8907601084 2024617.17732775),4386218.43700375
34,1.798102736743881,4.850584601135818,POINT (3159870.832536926 2024663.6114504382),12354992.2638414
35,1.9740928870332128,4.4147893047951134,POINT (3162775.215382666 2026539.70798689),14409667.847592032
36,3.493092473731992,4.564900971949192,POINT (3161449.0533337854 2025372.1056232308),5297105.799558994
37,1.6015381162249693,5.583991278215889,POINT (3163872.2505627805 2026026.617842584),14187177.933421036
38,0.8089218579759462,4.608145318604595,POINT (3163851.4510425427 2027983.4654300902),92164941.9289137
39,0.23646889332788024,5.249773075240198,POINT (3164299.9719081293 2027373.879819322),62621881.29727975
4,3.6747902904446574,1.442242381328992,POINT (3158272.9211931955 2028742.1473174866),14865336.928361041
40,1.8368175623446599,6.557940480965221,POINT (3163664.369469624 2034566.0250959056),7217568.025709119
41,1.0581958181301974,5.138288295716573,POINT (3164223.913764011 2031521.5452901393),11737424.887245119
42,0.5271446237084961,4.964224542811058,POINT (3164441.338481863 2029976.1295192563),17097365.48524828
43,2.5373485784987784,9.45626162052887,POINT (3165229.4891906264 2037022.887573956),4046270.3955118703
44,0.20498935452176556,7.605331389908376,POINT (3165339.1663017464 2034372.9049293902),26887255.19976801
45,0.8152142171027866,6.709965586673692,POINT (3157861.4940981753 2022993.162320756),6103563.493916367
46,0.641480154233372,6.298889198835193,POINT (3159074.9256346556 2023215.4700316468),20039419.531224832
47,2.2300112781936874,8.210242449490265,POINT (3158921.4175341185 2021310.1695127685),3181141.132589366
48,3.5050776187463364,6.883779896895056,POINT (3161979.6205923394 2023078.3251883218),1341439.2770890924
49,0.4017564272318113,8.323607455135464,POINT (3166103.826774054 2024433.2541996394),14310864.58287817
5,3.2372024626127454,1.5087514493308802,POINT (3159453.2259045504 2027991.9737668552),14312591.319545109
50,2.032414058679212,10.469535335269226,POINT (3167474.728023425 2022716.572909742),1444884.8603930739
51,1.6268411363464188,7.002988717526645,POINT (3165927.153886635 2026719.074992863),14635127.374360174
52,2.4313223814577016,8.24530308230339,POINT (3167290.439798433 2026799.2462781596),5358819.559636348
53,3.6206694865876345,10.791327513880328,POINT (3169744.2238250817 2026107.563157042),370192.0810480619
54,3.0932385729393377,7.974065170888225,POINT (3167472.745492587 2029645.067777292),3633445.5385319074
55,1.6205761619347336,11.66170672993458,POINT (3171067.166416194 2030981.912600351),7235989.249790295
56,2.115996702841394,7.1946750676506595,POINT (3166478.556646286 2031250.170409889),9510183.161280937
57,2.19081040524546,9.392289664210292,POINT (3167662.1740241544 2034146.9366614847),14321357.864006316
58,0.575708087688656,10.965790365133435,POINT (3169976.408212654 2032739.3563085732),6668178.005053737
59,1.8105676022367376,12.539175136193887,POINT (3171125.3596186037 2034199.1410740986),7462682.134130372
6,3.404106298324458,2.3766566843341206,POINT (3160370.8247712124 2027288.629110024),10794039.220807377
61,2.6981369199420886,28.211901522109272,POINT (3187333.0947181503 2034107.6269275695),2176916.963253328
62,0.9981936474046947,31.1469613588587,POINT (3190496.5442689536 2032557.3591992168),1546843.1008764568
63,2.716286125377166,27.60483237313367,POINT (3187043.3720501494 2031341.039504155),1963668.380128459
64,0.21953110969779124,15.145291350444547,POINT (3167280.552142099 2042493.9546887747),6883807.530745413
65,1.6322197202609914,14.68180553484292,POINT (3165882.909567784 2042721.7199793535),2278558.0885463003
66,1.8865825051087615,13.484703325029527,POINT (3167061.684690757 2040665.041352437),1157570.1755377161
67,0.5975902396184763,12.855119203972494,POINT (3147913.649211047 2023931.2869400843),7666083.934976722
68,1.9914572568833815,11.629867156063122,POINT (3148757.607419718 2025044.1261554237),1657465.7257183401
69,0.975420886130775,14.276104910516088,POINT (3146525.580816726 2023544.1945739675),2603543.607430646
7,2.194167324671254,2.10532070285003,POINT (3161244.0980162537 2028320.8064740896),10216409.7475358
8,1.504329273351853,2.6108557015911025,POINT (3162081.98577748 2029112.8089109736),16579438.097283345
84,4.585786124671442,13.619878806986042,POINT (3173097.5736588845 2028720.84064005),4861430.814681064
85,3.5351832284405162,11.853680710333313,POINT (3171345.7872898113 2029067.4842580054),5775676.648347958
87,2.9875131518354356,16.47339097739648,POINT (3151217.9719758634 2015259.893887278),2248630.504490651
88,0.9600501532285444,16.173842294630397,POINT (3148732.1938592503 2017431.5483392936),7392500.512687163
89,2.7857856363258215,16.541324655266493,POINT (3146901.3081710082 2018781.4000191712),2259305.2124263356
9,1.3596491653421845,3.5893545682603776,POINT (3162781.3858593744 2030954.6384631891),10192490.485336145
91,0.06418661089150506,11.716367161299043,POINT (3155555.417540238 2018467.6145518522),7040408.101507374
92,2.724311328752377,13.993422931349139,POINT (3156265.647491438 2015885.491224948),2510421.44821422
93,5.940944846666882,12.125081934086337,POINT (3161359.2769450317 2017518.3181001171),2955935.763354893
97,0.34509635417971335,10.875092780709826,POINT (3152525.558964501 2021155.8514376003),8017023.208650388
98,1.9815202834209622,9.426862680566904,POINT (3154481.4188309093 2021520.0511876633),3251780.992693651
99,1.283636973474776,10.875681594225004,POINT (3151430.0435658405 2022209.1664886838),1882681.8024582644
