geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
39124,0.3159927028139693,3.2802875700480114,POINT (4433250.086568875 3228693.377002705),3525623.1698919917
39118,2.3851048905067356,4.562195617623791,POINT (4431041.578130882 3221177.195990431),2018357.7601005875
39114,3.3154947154613588,3.005785256412998,POINT (4435462.106268397 3224989.4400501456),333162.0424531307
39130,2.657365084830558,4.41256422306505,POINT (4429114.213794976 3228329.6951773185),1086234.4671085728
39128,0.6355854187632612,3.9154706814018403,POINT (4430994.647292984 3229114.5295522925),6415189.7832182245
39106,1.2166268748784643,2.3378364357950203,POINT (4433919.118037096 3227357.8436956103),4622102.039015151
39126,1.1502482134266192,7.398407114426958,POINT (4435187.573471873 3232392.994752942),2480263.8938455796
39122,0.33969998004772617,5.677893787876081,POINT (4434771.990811564 3220296.48814563),935383.4803891662
39120,1.814835408587029,3.798772250906478,POINT (4432831.724415893 3221715.739236501),2692613.828525139
39112,0.955136994463814,2.294946189212692,POINT (4431454.177554242 3223457.1996124606),5126427.785362245
39104,1.406607380372013,0.8949711354112563,POINT (4433050.537680991 3224794.3927473244),5843452.87609281
39108,2.581304736712784,1.1167948763143996,POINT (4431456.378042711 3225897.5977942925),4267597.610671245
39110,1.9830829639212655,2.6089407636690933,POINT (4429893.462269401 3225388.049263964),930888.7786495218
39116,1.9067371264131832,4.734632677301482,POINT (4429193.549411082 3222111.175558986),622963.5854810531
39179,1.1383061247667494,7.458134030770463,POINT (4430248.5607709065 3232610.18878924),941146.1216557586
