geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
001,2.7349645606633586,0.37956326726066064,POINT (3866777.3395209615 2320240.8647766775),15407078.968065662
002,2.2839930154264154,0.717845329076501,POINT (3867216.44630366 2320455.2047943547),8623265.27598791
003,2.502843387657653,0.7444899406814902,POINT (3866655.5488768592 2319771.941060982),10604928.929309847
004,1.9241946602075952,0.9772066630469647,POINT (3866058.8724557054 2319628.0256013116),6136149.033378744
005,1.446644785939825,1.4364052000739347,POINT (3865306.2144812224 2319701.1658282494),2387935.304041337
006,3.4450936294691963,1.5154992492616657,POINT (3865643.040013917 2321749.9430214074),670245.2085256984
007,1.8156834155220927,1.5398707295786747,POINT (3867845.749266402 2321248.43889249),2977826.1153424946
008,0.47075061684325425,2.6706849865447353,POINT (3869151.825359016 2320816.828916979),4026132.548426522
009,1.2574869873539891,1.8612813458892434,POINT (3868313.849120865 2320082.483993969),3558053.600458753
010,2.0853582397452577,1.908012288490426,POINT (3867881.965317493 2319184.4458375736),2501276.5213900954
011,2.435652911189769,1.785776081741772,POINT (3866921.2359051583 2318764.616317258),4710198.18290952
012,0.35197372243341096,2.4905810301836957,POINT (3864674.619162889 2318805.603745454),9509803.163099084
013,1.0703365295301623,2.5462521739797803,POINT (3864153.0207493897 2319512.534288848),5088010.721251383
014,1.2978300924533148,4.111315573846866,POINT (3863430.343765986 2317765.0180342942),5888579.4212730285
015,3.3166684799645676,3.770723092800853,POINT (3862829.9570518653 2321365.527238987),669531.2835365516
016,3.5538592342306305,3.0254156983931626,POINT (3863871.373846651 2321997.8199805096),76093.38438143124
017,2.331912931687373,2.8488935678291742,POINT (3868446.3961066413 2322580.3213109686),459739.9257815289
018,1.9941657824250876,4.09644450675515,POINT (3870134.026738188 2322390.6896263156),813707.9889588524
019,1.3613981590996485,4.356668783423312,POINT (3870854.526323476 2320363.38599409),1519421.782792565
020,2.561329614713028,3.4408498128362717,POINT (3866619.0308433156 2317061.209646862),739401.5863597576
