geocode,minDist_subcenter,Distance2Center,wgt_center,build_vol_density
75101,1.3230386009398325,0.9816369370113552,POINT (3759831.997078187 2890219.2935232255),22717266.05685231
75102,0.9060732298484557,1.4119249148720316,POINT (3760148.834034967 2890867.5578343305),23934200.789469916
75103,2.2990823863153835,1.089557599214888,POINT (3761367.5756921438 2890159.126831807),18589492.946289644
75104,2.6225450831221035,0.5302869133543952,POINT (3761010.375906556 2889356.0533276447),16756676.902045984
75105,3.438188243646381,1.2954253062683803,POINT (3760480.9357993687 2888204.7149810274),17825659.732948717
75106,2.6575768964425364,1.4071772518518773,POINT (3759249.7474527764 2888854.2319407943),16103230.475142786
75107,2.3512919281688323,2.533929367818176,POINT (3757974.826603678 2889710.469379244),13435931.700161846
75108,1.429533217571829,3.2015225860269725,POINT (3758073.186488216 2891588.138656283),20095572.93257316
75109,0.49415092123857673,2.389952468282042,POINT (3759885.2021074677 2891809.5229706555),21648544.110183824
75110,2.0645674061538224,2.361975024953217,POINT (3761561.638079985 2891609.94090098),19355161.12901239
75111,3.8193510413803318,2.303517296070951,POINT (3762802.101920476 2889580.7383492393),15662632.55753827
75112,3.0276044462711282,3.8736871363639467,POINT (3763708.0693376884 2887328.884352455),5686070.7699260395
75113,5.283389560276204,3.1872249203241534,POINT (3761605.453616512 2886510.622975522),21687195.480366245
75114,3.1304753058899335,3.3212155831536743,POINT (3758553.2887951643 2886809.12868484),12081372.392190123
75115,1.0124449122532655,4.441116470604305,POINT (3756264.7722597234 2888163.45164941),17075863.206454873
75116,0.44561440112557243,5.409290149439351,POINT (3755141.013402627 2890235.9908763),7012283.245490972
75117,2.4375012289449893,4.587459294938963,POINT (3757671.1240397133 2893111.40465526),14173992.46014489
75118,2.4636115308352298,4.025275631118599,POINT (3760940.121008991 2893501.142012466),14364110.435412398
75119,2.9296134758916543,4.3387223194948605,POINT (3763412.300435753 2892716.056208712),12443354.715169296
75120,2.528884783027411,3.9158723438786867,POINT (3764395.2023086553 2889901.8148680683),10656174.836206153
91027,5.949442440030075,16.877610968346314,POINT (3761641.054124303 2872661.0051521994),2386922.6289658323
91326,7.570237041944839,18.568821512086853,POINT (3760690.194994993 2870932.1525692497),3028543.3206255683
91432,6.610843673976281,17.296075360704833,POINT (3757979.2956661503 2872388.592327208),3176809.6749154776
91479,3.3814888251157367,14.35322258538911,POINT (3760001.6821808787 2875155.4303676663),6475232.290272108
91589,8.458600332555704,19.33732106103418,POINT (3758609.935942278 2870255.2697167452),1956387.6440098835
91687,9.858602173223165,20.85793432213453,POINT (3760341.987544431 2868642.6642101547),2578753.9463437977
92002,4.646670549754166,12.51425108383366,POINT (3755897.204744128 2877862.9575913055),3365521.055567255
92004,0.27414619049346944,7.991946102854023,POINT (3756766.0719250757 2896566.0444126977),6225885.9024566645
92007,4.404712151155668,7.063714410321119,POINT (3757006.214578848 2883360.8205188704),4497529.665605332
92009,1.249170132128835,8.782144527338062,POINT (3755251.5116733992 2896541.266419089),5252276.232369502
92012,3.1531040203386906,8.282855600055509,POINT (3752372.678155885 2887902.3966282136),10419742.47056479
92014,4.322076854019408,8.689357631832202,POINT (3757310.786175648 2881417.0641944623),4941206.697784889
92019,7.1736537443181545,11.4886261552479,POINT (3753566.248048252 2880339.671686742),2328375.801307346
92020,3.4725670028258615,7.380168215641347,POINT (3755548.0775382626 2884027.7658288316),6954691.677527759
92022,7.445366409381814,12.81422692185383,POINT (3748341.1898706374 2885454.2926647034),2120368.5291073583
92023,4.749811597260161,9.635058830908358,POINT (3752984.1555158934 2883471.199093867),3174957.3062694008
92024,1.527049309923355,6.06404743182007,POINT (3758042.6729843104 2895043.8448024206),9926248.558618644
92025,2.9739492892617885,10.518600527505988,POINT (3753712.040184796 2897535.207440037),4847838.037989131
92026,0.3222234902569194,8.396585461492245,POINT (3753812.718163581 2894577.6873724605),14893514.718194453
92032,4.824223141807732,8.675426295300449,POINT (3755124.8567524045 2882690.3849981795),4250256.177513651
92033,5.0323386145109135,11.778310123903843,POINT (3748721.7236534418 2889528.2077819477),2552384.0587299014
92035,1.365911056565736,9.491917982712957,POINT (3753458.719812305 2895865.2871348374),5965382.260392649
92036,2.1220697379135522,9.340953469975885,POINT (3757563.2561480566 2898367.2965032374),7633962.005512816
92040,1.5566621354498704,6.914831687224868,POINT (3754208.363476311 2886631.1662445464),9814415.323234966
92044,2.2740516571451828,6.223515236690334,POINT (3756451.221353772 2894226.4715565806),12951286.886135394
92046,2.1826996560263634,5.6995454196516935,POINT (3756419.722625788 2885520.5333849667),6981542.687465521
92047,6.7585988432779605,13.533886473723994,POINT (3747027.752220445 2888209.797360908),486119.2889821861
92048,5.069050815865234,10.372823398553187,POINT (3751405.1203918788 2884512.151749366),2211735.286525458
92049,3.241989006616653,5.044111134114616,POINT (3757814.7157085827 2885230.0696249744),11023708.18371597
92050,1.4735541194139488,11.088270532249258,POINT (3750880.583580794 2895015.122043097),7657598.790221816
92051,1.8940699617964605,6.722345654139604,POINT (3754913.843952295 2893239.624540568),8540646.092793169
92060,6.449820693144911,11.000922405730732,POINT (3752801.2078981167 2881641.9535539113),5788084.264396513
92062,1.0082665866150184,8.791811839938992,POINT (3752811.230883811 2893763.6586292563),14730004.946763922
92063,1.7613831205444967,12.523963260173439,POINT (3748491.4622798283 2893055.9355401057),3026351.9727951307
92064,4.930242744811073,9.866102901072642,POINT (3750635.8346250686 2889695.519591239),2441630.9445080184
92071,5.333660896804465,9.429575446337259,POINT (3755930.790527372 2881251.4111574516),2966343.729771765
92072,5.411399521227871,10.713505211554935,POINT (3750135.8643764537 2886786.3517739484),2860010.0432620766
92073,3.219179192405269,9.397720153275161,POINT (3751417.7107467405 2891914.366583475),5973983.683019868
92075,1.1968685255895026,5.691085796590223,POINT (3755770.741460492 2886334.155529619),11307618.866515076
92076,5.9943375467457,13.809308823852884,POINT (3746693.884536175 2889203.0387364067),1654297.7597825106
92077,7.193732002010155,12.399162316538241,POINT (3748311.576154731 2887223.6981043927),1136277.318195287
92078,0.6331393248364142,8.579567727642639,POINT (3759810.4341799887 2898051.811584283),8681512.047335505
93001,1.061097854138366,6.414434635133742,POINT (3763507.120874443 2895165.8799612145),10379137.760750752
93005,0.9911883545073915,14.631304464666966,POINT (3771447.066806404 2899207.5639927797),5595600.836586316
93006,1.8821615974390349,5.487356861111321,POINT (3765929.6572595863 2890293.667036362),6895581.73121792
93007,1.7558254368832313,12.38739275068172,POINT (3769299.911735717 2898218.3170740246),4309240.7604329875
93008,5.041282995176508,8.5485768459328,POINT (3767439.507972797 2894492.1333301812),5305179.958771929
93010,5.817403477640053,11.160097062666782,POINT (3770842.586433807 2893692.6927275173),3334435.5684008496
93013,3.5277258631370048,10.790992986595594,POINT (3767419.938716736 2897780.0952768293),8861997.26429356
93014,7.6126306140768785,15.309741339617604,POINT (3775261.511556029 2893560.290194952),2138863.5670400024
93015,9.074298690184117,17.958365107682933,POINT (3777841.462204368 2894166.5368267405),315988.76804264134
93027,2.9006015141321657,8.712530430167767,POINT (3765009.41966351 2896954.751558231),4926020.018073542
93029,4.352126911100364,9.83966646724165,POINT (3767833.466181157 2896060.4351956546),3803604.8675631713
93030,3.2962131612829775,11.812399241191887,POINT (3767215.917455409 2899217.4702760256),3756776.63290548
93031,3.183331610578588,11.245249976290342,POINT (3759159.687532249 2900665.088871928),3756671.466457619
93032,8.772871525853494,14.515506184481332,POINT (3774952.757866091 2890848.224705254),1807549.4673745143
93033,7.292006915387653,16.682383984332304,POINT (3777139.0042516133 2888297.721781158),1465040.701077406
93039,0.9102909388109388,8.26536493043911,POINT (3760371.059038776 2897764.35911985),5074769.200064945
93045,3.149390930798329,5.884803289331853,POINT (3765994.1027770494 2891608.4934027283),6940010.252354053
93046,6.12590791474998,15.46462867543845,POINT (3774872.179625455 2895209.219989005),2436936.635540455
93047,9.403359961156973,16.63604765151612,POINT (3776851.1538216914 2892565.59132353),1653299.279207373
93048,1.2437415990420344,6.9082828135301115,POINT (3767406.683597083 2889351.3624492353),5686467.49513162
93049,5.943653471001871,11.95590235506669,POINT (3772435.75806283 2888806.256106713),2450819.7630853886
