geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,street_length_total,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens,bike_lane_share
101001,590.0,1192.0,4.040677966101695,115.89809661662323,92.02472108115683,77107.23699999996,15733.419020540248,3.2711864406779663,82.7330869098712,0.0004864455322782214,0.3112
101002,603.0,1211.0,4.016583747927031,119.16283173258445,92.63685891539956,82392.37199999999,16811.829384733734,3.3051409618573797,85.82538749999999,0.0004941992781786293,0.3149
101003,667.0,1354.0,4.059970014992504,132.62986408592448,98.75823725782683,87443.624,17842.51687123182,3.3223388305847075,81.72301308411214,0.0005525564183764361,0.3641
101004,650.0,1318.0,4.055384615384615,128.9570370804681,96.5137318656035,86753.45600000002,17701.69088963728,3.312307692307692,83.17685139022053,0.0005378651103546105,0.3608
101005,659.0,1309.0,3.9726858877086495,131.20154247269144,96.71777781035108,88472.46200000003,18052.44709293403,3.3034901365705616,84.74373754789275,0.0005341922833491542,0.3624
101006,645.0,1274.0,3.950387596899225,128.1408533014778,94.47327241812773,86063.19100000005,17560.8451155861,3.3007751937984495,84.12824144672537,0.0005199090672168239,0.3612
101007,632.0,1234.0,3.9050632911392404,125.69230196450688,93.65708863913743,84997.10900000005,17343.315406717717,3.2911392405063293,85.08219119119124,0.0005035853916370178,0.3311
101008,625.0,1234.0,3.9488,124.05993440652627,94.26922647338016,84510.09700000002,17243.942583074302,3.2992,85.36373434343437,0.0005035853916370178,0.336
101009,623.0,1231.0,3.951845906902087,123.85588846177869,93.65708863913743,83460.18900000003,17029.713113316266,3.304975922953451,84.4738755060729,0.0005023611159685323,0.3121
101010,617.0,1209.0,3.918962722852512,121.40733712480778,92.2287670259044,83274.13500000002,16991.7495491122,3.2576985413290114,85.76121009268797,0.0004933830943996391,0.2952
101011,623.0,1208.0,3.8780096308186196,123.85588846177869,91.4125832469141,86145.97100000006,17577.736038892308,3.284109149277689,87.19227834008103,0.0004929750025101439,0.3362
101012,631.0,1232.0,3.9049128367670365,125.4882560197593,93.24899674964227,86390.27700000006,17627.585687469807,3.2916006339144217,86.21784131736533,0.0005027692078580275,0.324
101013,659.0,1281.0,3.8877086494688924,131.40558841743902,96.30968592085593,90710.58800000003,18509.12762706815,3.2928679817905917,86.88753639846746,0.0005227657104432899,0.3428
101014,643.0,1239.0,3.853810264385692,128.1408533014778,95.08541025237047,88578.73200000003,18074.131055482358,3.28149300155521,87.52839130434786,0.0005056258510844936,0.3448
101015,655.0,1265.0,3.8625954198473282,130.5894046384487,96.5137318656035,91655.54200000004,18701.94165874115,3.280916030534351,89.15908754863817,0.0005162362402113675,0.3416
101016,639.0,1232.0,3.856025039123631,127.12062357773992,95.49350214186562,89394.32099999997,18240.548683513076,3.2456964006259783,90.11524294354835,0.0005027692078580275,0.3201
101017,624.0,1181.0,3.78525641025641,123.44779657228355,94.26922647338016,87927.06899999997,17941.161862990306,3.2115384615384617,91.59069687499998,0.0004819565214937747,0.2934
101018,635.0,1195.0,3.763779527559055,125.69230196450688,96.5137318656035,87004.79799999997,17752.976205482013,3.2393700787401576,88.50945879959305,0.00048766980794670686,0.3247
101019,638.0,1222.0,3.830721003134796,127.12062357773992,93.861134583885,87216.02400000005,17796.076014207283,3.272727272727273,87.12889510489515,0.000498688288963076,0.3394
101020,621.0,1195.0,3.848631239935588,123.44779657228355,91.82067513640925,86581.33800000003,17666.57090971922,3.2705314009661834,88.61958853633575,0.00048766980794670686,0.3209
101021,627.0,1193.0,3.8054226475279105,124.46802629602142,93.861134583885,86898.859,17731.359782141404,3.2615629984051036,88.49170977596741,0.00048685362416771657,0.3108
101022,634.0,1180.0,3.722397476340694,125.28421007501173,94.88136430762289,86848.55399999996,17721.09525089087,3.228706624605678,88.80220245398769,0.0004815484296042796,0.3063
101023,639.0,1194.0,3.7370892018779345,126.91657763299234,95.6975480866132,86511.43799999994,17652.308098181344,3.241001564945227,87.4736481294236,0.00048726171605721174,0.299
101024,607.0,1114.0,3.670510708401977,119.5709236220796,94.67731836287531,81121.26399999991,16552.464951997517,3.172981878088962,88.56033187772915,0.00045461436489759954,0.2641
101025,612.0,1124.0,3.673202614379085,120.79519929056505,92.84090486014713,82661.51299999986,16866.746514349015,3.1879084967320264,88.8833473118278,0.00045869528379255105,0.2713
101101,627.0,1174.0,3.74481658692185,123.44779657228355,94.88136430762289,88710.461,18101.009823738004,3.186602870813397,92.6964064785789,0.0004790998782673087,0.2771
101502,593.0,1105.0,3.72681281618887,116.51023445086595,93.04495080489471,83772.77699999994,17093.495427093003,3.1585160202360876,94.33871283783778,0.00045094153789214316,0.2407
101801,594.0,1104.0,3.717171717171717,116.51023445086595,92.43281297065198,82684.4509999999,16871.426920229642,3.1498316498316496,93.11312049549538,0.00045053344600264804,0.2456
101802,627.0,1179.0,3.7607655502392343,123.85588846177869,95.08541025237047,89468.53199999998,18255.69113711874,3.1993620414673045,93.09940894901142,0.00048114033771478443,0.2903
102001,681.0,1387.0,4.073421439060206,135.48650731239053,99.77846698156472,87925.4789999999,17940.837429938143,3.311306901615272,80.6655770642201,0.0005660234507297761,0.3955
102002,679.0,1392.0,4.100147275405007,135.28246136764295,101.6148804842929,87807.94799999999,17916.855706006034,3.3240058910162005,80.63172451790632,0.0005680639101772518,0.3735
102003,686.0,1413.0,4.119533527696793,136.5067370361284,102.4310642632832,88522.96099999998,18062.75120909783,3.3192419825072887,80.69549772105741,0.0005766338398566499,0.3949
102004,680.0,1402.0,4.123529411764705,135.6905532571381,100.79869670530259,88552.10599999993,18068.698128157488,3.322058823529412,81.31506519742877,0.0005721448290722033,0.3961
102005,698.0,1462.0,4.189111747851003,140.1795640415848,104.06343182126382,89639.31199999995,18290.538103562725,3.322349570200573,79.82129296527155,0.0005966303424419125,0.4237
102006,657.0,1365.0,4.155251141552512,130.18131274895356,97.12586969984622,83938.72599999998,17127.356647577926,3.26027397260274,81.25723717328168,0.0005570454291608828,0.4149
102007,680.0,1399.0,4.114705882352941,135.48650731239053,99.37037509206957,89807.29399999994,18324.81414945331,3.286764705882353,83.38653110492102,0.0005709205534037179,0.4198
102008,659.0,1337.0,4.057663125948407,131.6096343621866,96.30968592085593,89749.88500000004,18313.10007581132,3.3125948406676784,85.80294933078397,0.0005456188562550186,0.3859
102009,667.0,1351.0,4.050974512743628,133.24200192016718,98.96228320257441,89904.64099999999,18344.677410036664,3.314842578710645,84.57633207902163,0.0005513321427079506,0.3756
102010,667.0,1322.0,3.9640179910044977,133.24200192016718,99.37037509206957,92179.69700000004,18808.893360910315,3.2968515742128934,87.79018761904766,0.0005394974779125912,0.3482
102011,624.0,1195.0,3.8301282051282053,124.26398035127384,92.63685891539956,87132.15299999995,17778.962476775338,3.2419871794871793,90.38605082987546,0.00048766980794670686,0.331
102012,622.0,1180.0,3.7942122186495175,123.24375062753597,93.24899674964227,85658.17499999996,17478.203243228196,3.2282958199356915,89.69442408376959,0.0004815484296042796,0.304
102013,590.0,1138.0,3.857627118644068,115.2859587823805,87.33166435196257,84789.5319999999,17300.960161644816,3.188135593220339,94.42041425389745,0.0004644085702454832,0.265
102014,619.0,1206.0,3.8966074313408723,122.42756684854567,92.02472108115683,87327.34799999995,17818.791224960343,3.2520193861066238,91.25114733542316,0.0004921588187311535,0.3663
