geocode,n,m,k_avg,intersection_density_km,clean_intersection_density_km,street_length_total,street_density_km,streets_per_node_avg,street_length_avg,int_node_dens,bike_lane_share
001001,1055.0,2224.0,4.216113744075829,197.72052046040125,163.2367557980609,102670.46900000004,20949.492844781733,3.1393364928909953,63.37683271604941,0.0009075963622372185,0.016
001002,1009.0,2110.0,4.182358771060456,187.31417727827485,153.23850450542966,97618.59700000011,19918.67884979792,3.1258671952428148,63.34756456846211,0.0008610738868347712,0.0168
001003,1052.0,2252.0,4.281368821292776,196.90433668141094,161.80843418482786,100100.70800000004,20425.143533761257,3.1169201520912546,62.71974185463662,0.0009190229351430828,0.0164
001004,1068.0,2273.0,4.2565543071161045,200.57716368686732,164.46103146654633,104260.8740000001,21274.008535538014,3.1385767790262173,63.65132722832729,0.000927592864822481,0.0157
002001,909.0,1917.0,4.217821782178218,165.6853071350318,139.56742620734207,87061.17400000006,17764.47949966312,3.062706270627063,64.48975851851856,0.0007823121521622067,0.003
002002,934.0,2043.0,4.374732334047109,173.2350070906921,143.64834510229358,89673.30100000006,18297.473421178773,3.0663811563169165,64.6061246397695,0.0008337317302385958,0.0029
002003,958.0,2144.0,4.475991649269311,177.31592598564364,146.70903427350723,92995.076,18975.268139292642,3.046972860125261,65.72090176678445,0.0008749490110776063,0.0
002004,939.0,2153.0,4.585729499467519,170.9905016984688,139.56742620734207,88672.16499999994,18093.19568023794,2.990415335463259,65.24809786607796,0.0008786218380830627,
002005,1022.0,2290.0,4.481409001956947,189.35463672575062,156.0951477318957,99021.41299999999,20204.91776582491,3.050880626223092,65.83870545212766,0.0009345304269438986,
002006,1048.0,2317.0,4.42175572519084,196.08815290242063,163.2367557980609,100246.24999999999,20454.840788651698,3.0963740458015265,63.527408111533575,0.0009455489079602677,0.0026
003001,1075.0,2324.0,4.323720930232558,201.80143935535276,166.5014909140221,104919.33900000007,21408.36564854622,3.118139534883721,64.44676842751846,0.0009484055511867337,0.0132
003002,1041.0,2207.0,4.240153698366955,195.27196912343032,159.15583690310936,103052.61099999993,21027.46737019944,3.106628242074928,65.97478297055054,0.0009006588001158009,0.0046
003003,1082.0,2273.0,4.2014787430683915,203.84189880282852,166.29744496927452,107583.43299999999,21951.963225672553,3.147874306839187,65.04439721886335,0.000927592864822481,0.0188
003004,990.0,2001.0,4.042424242424242,185.88585566504184,149.97376938946843,100387.20499999989,20483.602084793572,3.11010101010101,67.14863210702333,0.0008165918708797995,0.0333
003005,999.0,2075.0,4.1541541541541545,185.06967188605154,153.23850450542966,97549.78899999996,19904.6388564317,3.119119119119119,64.30440936058007,0.0008467906707024408,0.0207
003006,1011.0,2117.0,4.187932739861523,188.33440700201274,156.50323962139086,99681.81399999997,20339.66991178215,3.136498516320475,64.43556173238524,0.0008639305300612371,0.0164
003007,934.0,1928.0,4.12847965738758,172.82691520119695,143.24025321279842,92133.27300000007,18799.42073197136,3.1177730192719486,65.15790169731264,0.0007868011629466534,0.0178
003008,882.0,1835.0,4.160997732426304,160.78820446108998,135.28246136764295,85057.43,17355.62366215082,3.072562358276644,64.68245627376426,0.0007488486172236042,0.0193
004001,862.0,1745.0,4.048723897911833,157.31942340038117,129.36512896996325,91543.02699999997,18678.98342926786,3.054524361948956,71.91125451688922,0.0007121203471690406,0.0386
004002,911.0,1843.0,4.046103183315038,165.27721524553664,138.3431505388566,92153.58099999989,18803.564497017258,3.0548847420417125,68.26191185185176,0.0007521133523395655,0.022
004003,866.0,1778.0,4.106235565819861,155.27896395290543,130.5894046384487,85628.65499999994,17472.179806939243,3.033487297921478,67.26524351924583,0.0007255873795223805,0.0191
005001,811.0,1659.0,4.091245376078915,146.30094238401207,119.16283173258445,88275.72700000003,18012.30411399412,3.0172626387176327,74.68335617597295,0.0006770244446724576,0.0268
005002,625.0,1322.0,4.2304,108.96053449520564,82.23051573327317,76714.90800000007,15653.365879083398,2.8464,90.040971830986,0.0005394974779125913,0.0434
005003,767.0,1573.0,4.101694915254237,135.89459920188568,112.22526961116685,84677.3550000001,17278.070899700906,3.0065189048239898,75.33572508896806,0.0006419285421758745,0.0366
005004,679.0,1414.0,4.164948453608248,114.67382094813777,91.82067513640925,78572.21900000014,16032.342656768478,2.889543446244477,83.76569189765473,0.0005770419317461452,0.006
005005,751.0,1488.0,3.96271637816245,129.7732208594584,108.75648855045806,78101.996,15936.39556049141,2.9427430093209055,72.92436601307189,0.0006072407315687864,0.021
005006,488.0,1015.0,4.159836065573771,72.02821849589436,58.969278032049495,62008.59700000001,12652.602757336716,2.5471311475409837,105.09931694915255,0.00041421326783757945,
005007,633.0,1253.0,3.9589257503949447,107.32816693722503,91.20853730216652,67073.15100000001,13686.004462991832,2.8925750394944707,76.21948977272729,0.0005113391375374257,0.0244
006001,388.0,811.0,4.180412371134021,52.84789968962221,44.89010784446674,48634.80399999997,9923.734529793186,2.3762886597938144,111.5477155963302,0.00033096252238056846,
006002,360.0,753.0,4.183333333333334,47.950797015680386,42.03346461800068,51375.84900000003,10483.03364641382,2.3444444444444446,128.43962250000007,0.0003072931927898496,
006003,285.0,574.0,4.028070175438597,37.340407888806425,31.83116738062187,42757.396,8724.473261766232,2.3157894736842106,138.82271428571428,0.00023424474457021735,
006004,238.0,476.0,4.0,29.38261604365096,25.505743093447013,33753.73200000001,6887.312134696494,2.235294117647059,138.3349672131148,0.00019425173939969245,
006005,153.0,300.0,3.9215686274509802,18.160089082534274,16.73176746930124,27467.637000000002,5604.659941648478,2.215686274509804,176.07459615384616,0.00012242756684854565,
006006,465.0,973.0,4.184946236559139,74.88486172236043,65.70279420871951,54317.77700000004,11083.322124553168,2.756989247311828,89.48562932454702,0.00039707340847878304,0.0047
006007,213.0,435.0,4.084507042253521,28.362386319913078,24.893605259204286,34114.06799999999,6960.837234243052,2.3427230046948355,150.94720353982297,0.0001775199719303912,
006008,130.0,254.0,3.9076923076923076,16.527721524553666,15.099399911320631,21929.683000000005,4474.66288574986,2.3076923076923075,167.40216030534356,0.00010365533993176866,
