city,dist_agg_r2_ML,dist_agg_r2_LR,dist_commute_r2_ML,dist_commute_r2_LR,mode_F1_ML,mode_F1_LR,car_own_F1_ML,car_own_F1_LR
Berlin,0.78,0.813,0.145,0.14,0.676,0.624,0.758,0.738
Dresden,0.257,0.117,-0.064,-0.01,0.681,0.616,0.811,0.784
Düsseldorf,0.166,-0.103,0.03,0.029,0.647,0.599,0.797,0.796
Frankfurt am Main,0.034,-0.791,-0.082,-0.012,0.657,0.545,0.791,0.797
Kassel,-0.746,-11.689,-0.099,-0.017,0.681,0.623,0.829,0.826
Leipzig,0.479,0.293,0.021,0.035,0.679,0.639,0.769,0.747
Magdeburg,-0.018,-5.472,-0.008,0.039,0.687,0.605,0.812,0.796
Potsdam,-1.09,-8.901,-0.041,-0.007,0.654,0.61,0.767,0.773
Clermont,0.111,0.138,0.221,0.252,0.918,0.654,0.83,0.839
Dijon,0.505,0.627,0.137,0.21,0.875,0.627,,
Lille,0.172,0.268,0.117,0.103,0.904,0.732,,
Lyon,0.425,0.467,0.16,0.151,0.871,0.751,,
Montpellier,0.7,0.769,0.207,0.207,0.873,0.715,,
Nantes,0.652,0.666,0.184,0.175,0.856,0.753,,
Nimes,0.345,-0.64,0.167,0.185,0.91,0.617,,
Paris,0.5,0.578,0.128,0.091,0.79,0.62,0.758,0.743
Toulouse,0.406,0.545,0.175,0.155,0.866,0.76,0.846,0.843
Madrid,0.672,0.669,0.173,0.134,0.729,0.685,,
Wien,0.493,0.42,0.085,0.11,0.685,0.668,,
France_other,0.407,0.445,0.213,0.178,0.883,0.763,0.845,0.842
Germany_other,0.141,0.096,0.052,0.022,0.668,0.617,0.809,0.786
All,0.54,0.526,0.159,0.125,0.758,0.679,0.783,0.756
