param,coefficient,p
Intercept,1.7750518948197822,0.567186931473723
HHType_simp[T.MultiAdult_Kids],0.29031566237958384,0.41867138738493564
HHType_simp[T.Single_Female],-1.6809588818925267,5.0195887220585904e-08
HHType_simp[T.Single_Female_Parent],-0.8611673311291937,0.06863019846077759
HHType_simp[T.Single_Male],-1.064686898088038,0.0017241915254869382
HHType_simp[T.Single_Male_Parent],-0.2975660429502837,0.6828609182895242
HHSize,-0.17839912432532395,0.2982021050965703
IncomeDetailed_Numeric,0.00030945342417356135,0.0009333217626425883
maxAgeHH,0.015040972056482891,0.06659154136489663
UniversityEducation,-0.05117645860099594,0.7534350399092629
InEmployment,0.6821482593063917,0.049667984986805934
AllRetired,0.5598275967743794,0.2350027123053292
UrbPopDensity,3.192353570975795e-05,0.6547324661038885
UrbBuildDensity,-6.78994995282212e-08,0.49734543281071253
DistSubcenter,0.0936135875510047,0.5123922400689586
DistCenter,0.042455180224370496,0.6676375714555801
bike_lane_share,-0.5220966580935904,0.5158194905226815
IntersecDensity,-0.04568624392949529,0.3095326166988817
StreetLength,-0.012913983120060686,0.3255912988854466
LU_UrbFab,3.2903618392773115,0.42815541202888807
LU_Comm,5.188068535201506,0.17336832539115743
LU_Urban,-1.2070633895650884,0.49968231896820975
