param,coefficient,p
Intercept,-1.7483603408335524,0.20731302557595307
HHType_simp[T.MultiAdult_Kids],-0.14003960817515387,0.6036944457053146
HHType_simp[T.Single_Female],-0.544055778318408,0.01236151059144624
HHType_simp[T.Single_Male],-0.5995903176244529,0.00821848678040013
HHType_simp[T.Single_Parent],-0.4358024140230812,0.24013657546489928
HHSize,0.25875604272881103,0.08378302837543222
IncomeDetailed_Numeric,0.0005007994677151078,3.9677171938001795e-24
maxAgeHH,0.008715076375052857,0.08196651455009231
UniversityEducation,0.012599841470543235,0.7589346808775279
InEmployment,0.6947088694292985,0.0005152359537254597
AllRetired,0.2834775846499567,0.2667939371333522
UrbPopDensity,-5.7142966997218874e-05,0.039143517539421274
UrbBuildDensity,9.248969793330649e-09,0.7045431892805575
DistSubcenter,0.03389642743101681,0.5214267946439687
DistCenter,0.11187322868007854,0.0023565364150004964
bike_lane_share,2.363811183099637,0.16382498121927963
IntersecDensity,-0.005440209529515532,0.49110129429912713
street_length,0.003922047921782546,0.64117244568517
LU_UrbFab,-0.12712062112512668,0.7154240676079512
LU_Comm,-0.44046409605987713,0.4706090258802233
