param,coefficient,p
Intercept,1.7620994781491321,0.010815035035142178
HHType_simp[T.MultiAdult_Kids],0.16238293109243662,0.631351918358384
HHType_simp[T.Single_Female],-0.9390765774574243,1.5279805686005102e-06
HHType_simp[T.Single_Male],-0.7732411774589553,0.00013198582997372768
HHType_simp[T.Single_Parent],-0.9200392401664538,3.678082905844846e-05
HHSize,-0.018038971769099202,0.8338015740558316
IncomeDetailed_Numeric,0.0008902515888262803,2.4031792177319543e-36
maxAgeHH,-0.008901217412631876,0.017365025351543186
UniversityEducation,0.6297777121428345,3.93693935392903e-08
InEmployment,0.7173208300023639,5.4551140950344624e-08
AllRetired,0.3289629963629784,0.07082477723193069
UrbPopDensity,-5.5545988023031124e-05,0.12473465818631284
UrbBuildDensity,2.863262997945895e-09,0.7702907783082587
DistSubcenter,-0.04233225093164502,0.26648708082567907
DistCenter,0.04365807440693689,0.04310945309419857
bike_lane_share,-1.965441712370179,3.132275767997827e-05
IntersecDensity,-0.006544295432559059,0.06229550022966232
StreetLength,-0.001894387247735689,0.5952151396128627
LU_UrbFab,3.918722646817049,5.7178023632369784e-05
LU_Comm,3.4537416681146667,0.0007707770492426586
LU_Urban,-3.313338893109501,0.00020714305325892238
