param,coefficient,p
Intercept,0.7874397128032237,0.7229557698722943
HHType_simp[T.MultiAdult_Kids],0.3854363667217684,0.4260153413710534
HHType_simp[T.Single_Female],-0.8956434838881132,0.023005513426526954
HHType_simp[T.Single_Female_Parent],-0.07651341772869867,0.7555719697918373
HHType_simp[T.Single_Male],-1.0126486471283525,0.013610654880563103
HHType_simp[T.Single_Male_Parent],-0.0864943408360951,0.8639965463874688
HHSize,-0.020983014045300202,0.801610332023781
IncomeDetailed_Numeric,0.00021560092227165885,0.0076503474744012145
maxAgeHH,0.02499156960578567,0.007067931440799472
UniversityEducation,0.018726771371922617,0.9048880873058291
InEmployment,0.32976643035189107,0.4788810639058173
AllRetired,0.09499985016846717,0.8107903982489035
UrbPopDensity,-4.280798649453021e-05,0.49399890414001035
UrbBuildDensity,1.299933954993899e-07,0.2755587041893581
DistSubcenter,-0.0544784917861186,0.672555764174046
DistCenter,0.08736990223176466,0.22550279179693092
bike_lane_share,0.561161628236122,0.705666606728443
IntersecDensity,-0.01665813795467185,0.3673162914387695
StreetLength,-0.00546077332633303,0.6960479547630716
LU_UrbFab,1.8495096656185943,0.4150314597180498
LU_Comm,-3.204280201437098,0.13139834194490627
LU_Urban,-1.3644483354615986,0.32991544300533365
