param,coefficient,p
Intercept,13.545371692557259,0.9986357963780035
HHType_simp[T.MultiAdult],-15.813513199925657,0.9979967500871233
HHType_simp[T.MultiAdult_Kids],-15.667871897164401,0.9980551268085095
HHType_simp[T.Single_Female],-17.374584802316427,0.997724556373456
HHType_simp[T.Single_Male],-17.049022043931966,0.9977824736356931
HHType_simp[T.Single_Parent],-16.713266228172262,0.9978773434574976
HHSize,-0.05075856223678665,0.7609640581971426
IncomeDetailed_Numeric,0.0004920706859906367,1.2767811092521146e-05
maxAgeHH,0.012662745586496599,0.15538509178088086
UniversityEducation,-0.07713988090272425,0.7551292002892169
InEmployment,1.0753097571821353,0.0009942290908225779
AllRetired,0.434443114171004,0.3000199886673558
UrbPopDensity,-0.00034192760572895783,0.1250286653686855
UrbBuildDensity,-1.9996980513993285e-07,0.5312747859965778
DistSubcenter,-0.10629864258311293,0.6402438919133443
DistCenter,0.3202542467619216,0.36925055345737035
bike_lane_share,2.363000039104401,0.6928546083596584
IntersecDensity,8.667006869716954e-05,0.7629914377568231
street_length,0.01368351602530819,0.7427720441232889
LU_UrbFab,3.72289623036295,0.27676745139244435
LU_Comm,0.9967510587011228,0.7510139483550332
