param,coefficient,p
Intercept,-14.517624217562838,0.9892418669013396
HHType_simp[T.MultiAdult],15.955327927743195,0.987464518581563
HHType_simp[T.MultiAdult_Kids],16.808980579131667,0.9866574800093929
HHType_simp[T.Single_Female],13.811700541302036,0.9893346828846897
HHType_simp[T.Single_Female_Parent],15.925833061329794,0.9875189451998113
HHType_simp[T.Single_Male],14.268629317936734,0.9889599156358588
HHType_simp[T.Single_Male_Parent],32.59523519761563,0.9982848019841685
HHSize,-0.5247231985635344,0.016251896847194622
IncomeDetailed_Numeric,0.000357318990108093,0.0006107814428705447
maxAgeHH,-0.018540864552834047,0.02364306517312154
UniversityEducation,-0.17474542935517018,0.34630631705753434
InEmployment,0.9575788055933796,0.0031550984975949486
AllRetired,0.9759345595801362,0.01893849656599318
UrbPopDensity,-0.0002919586532568247,0.17646892566776612
UrbBuildDensity,4.5701479619385124e-08,0.6630736618665412
DistSubcenter,-0.21297010621653795,0.4376947699371269
DistCenter,0.023114478640360363,0.7296682311190821
bike_lane_share,0.6627708289136814,0.8039122858385432
IntersecDensity,0.04200984865238326,0.2735501498167828
StreetLength,0.00538741405318308,0.6390037699256546
LU_UrbFab,3.77978333939219,0.6461292361516897
LU_Comm,-0.0224018017081293,0.7791455275399791
LU_Urban,-1.3719816792153279,0.7324996889760772
