param,coefficient,p
Intercept,1.6377509619451638,0.9999994108821533
HHType_simp[T.MultiAdult_Kids],-0.17933791047801487,0.693162264824218
HHType_simp[T.Single_Female],-1.3966979146028633,0.00013647013198692893
HHType_simp[T.Single_Male],-0.7232462006357339,0.07125099630259792
HHType_simp[T.Single_Parent],-0.9101250583985673,0.14880227216207798
HHSize,-0.10276679143104156,0.6015602535514416
IncomeDetailed_Numeric,0.0003824711291959636,0.0003265289642170596
maxAgeHH,0.006588911763602967,0.5018483535374971
UniversityEducation,-0.1113754285493844,0.6542018585061887
InEmployment,1.220549331879183,0.0027194913814781257
AllRetired,0.6019662187230558,0.24385101686864166
UrbPopDensity,-0.0001271953787366192,0.9999998801584115
UrbBuildDensity,-4.463705169115459e-08,0.9999999342848521
DistSubcenter,-0.4765347963419145,0.9999993290273915
DistCenter,0.15043899460983873,0.9999996488802035
bike_lane_share,-2.5289940161603504,0.9999991911167213
IntersecDensity,-0.07716526820324793,0.9999992076135031
StreetLength,-0.000965108350367566,0.9999998135943867
LU_UrbFab,1.2014447497977818,0.9999999117259847
LU_Comm,1.9459907943430632,0.8333332107383006
LU_Urban,1.5503156797483357,0.9999998549573753
