param,coefficient,p
Intercept,-0.2722735603371377,0.7387007671560111
HHType_simp[T.MultiAdult_Kids],0.4196944030819181,0.29012092496116
HHType_simp[T.Single_Female],-0.7713749624054048,0.0008929184225121311
HHType_simp[T.Single_Male],-0.6268771215845744,0.012622756219183903
HHType_simp[T.Single_Parent],-0.693007939975169,0.0038642143659207567
HHSize,-0.04040672132087383,0.6660392607286505
IncomeDetailed_Numeric,0.000874259523376167,1.6764940200441301e-29
maxAgeHH,-0.006806014245539879,0.09210825704984214
UniversityEducation,0.6141835030241799,1.2999516915323937e-06
InEmployment,0.6673644996412947,6.789205320544804e-06
AllRetired,0.3376162324522832,0.12094513177371777
UrbPopDensity,-9.117413851125976e-05,0.027796995495395604
UrbBuildDensity,8.740990319154334e-09,0.8097542210423401
DistSubcenter,0.020313225031416478,0.6086052651280458
DistCenter,0.06624634527011596,0.006948278405174941
bike_lane_share,-0.06097690849008988,0.7770677076248996
IntersecDensity,-0.00830098644456543,0.028664811587675802
street_length,0.004372163612997848,0.43291929167385707
LU_UrbFab,1.3184294634520908,0.007340615133886526
LU_Comm,0.31646825493148095,0.6216472738359087
