param,coefficient,p
Intercept,-4.016194129453861,0.5149887228774253
HHType_simp[T.MultiAdult],4.554934719525458,0.31157946878678505
HHType_simp[T.MultiAdult_Kids],4.70688611100075,0.26484029621518484
HHType_simp[T.Single_Female],3.508728608727814,0.7545171350225751
HHType_simp[T.Single_Male],3.884405677004328,0.572361248204334
HHType_simp[T.Single_Parent],4.029292725616667,0.5068362973333965
Country[T.Germany],-0.83071756783375,1.227308529185896e-60
HHSize,-0.028442988542838436,0.3393526667327966
IncomeDetailed_Numeric,0.0004842456648822349,7.127841417661733e-280
maxAgeHH,0.014249081534712105,1.7762321235198436e-31
UniversityEducation,-0.0036224218614467935,0.7688710797975973
InEmployment,0.5134108942645776,2.6280403843592246e-23
AllRetired,0.3207159885438876,8.829761087127727e-07
UrbPopDensity,-7.713925365853178e-05,1.1048143817362326e-89
UrbBuildDensity,2.237451777465121e-08,0.0030923076120867267
DistSubcenter,0.008701060669909236,0.3823155579766998
DistCenter,0.0005968030731574725,0.8314848897525225
bike_lane_share,0.2660685740531307,0.11823373409794674
IntersecDensity,-0.0010419261876625154,0.4462169535018606
street_length,-0.0013531795641920352,0.18625459506019132
LU_UrbFab,0.6688567395137461,3.319259465457375e-08
LU_Comm,-1.1802173376297138,1.180850223617756e-13
transit_accessibility,-0.0001790358921729332,9.438126629179531e-39
