city,param,coefficient,p
Berlin,IncomeDetailed_Numeric,0.0003884745505317,8.049860083311757e-90
Berlin,HHSize,,0.3565075062995917
Berlin,maxAgeHH,0.0229216824549687,1.340169938950939e-29
Berlin,UniversityEducation,-0.2011305955904425,0.0001849582431175
Berlin,HHType_simp[T.MultiAdult_Kids],0.219139139617832,0.0393839210143084
Berlin,HHType_simp[T.Single_Female],-1.1418712127358852,3.273542490037299e-42
Berlin,HHType_simp[T.Single_Male],-0.6002101198101184,8.002377640217893e-11
Berlin,HHType_simp[T.Single_Parent],,0.1085742939744128
Berlin,DistCenter,0.0827171572330273,5.003740542239057e-17
Berlin,DistSubcenter,,0.3876966097117095
Berlin,UrbPopDensity,-8.294374317577524e-05,2.728281831135206e-26
Berlin,UrbBuildDensity,,0.1388302545766488
Berlin,IntersecDensity,,0.3999463451787409
Berlin,street_length,,0.1147111023878465
Berlin,bike_lane_share,,0.6489796594831019
Berlin,transit_accessibility,,0.1224690405146596
Berlin,LU_UrbFab,0.011109823054088568,4.8515030697499184e-08
Berlin,LU_Comm,-0.005392291054429585,0.0521270906868592
Paris,IncomeDetailed_Numeric,0.0006290413842725,1.2341633181397058e-94
Paris,HHSize,,0.709627961687165
Paris,maxAgeHH,0.0151722787500373,4.7944510549842543e-08
Paris,UniversityEducation,0.2742346155814771,0.0002900282155889
Paris,HHType_simp[T.MultiAdult_Kids],0.2658314648993627,0.0648125275713821
Paris,HHType_simp[T.Single_Female],-0.5997212251109244,1.5249523100514425e-07
Paris,HHType_simp[T.Single_Male],-0.3644875448694517,0.0024103009738908
Paris,HHType_simp[T.Single_Parent],-0.3672384956688645,0.0063879670587198
Paris,DistCenter,0.0461052827313891,0.0015418925549685
Paris,DistSubcenter,,0.6598337309647173
Paris,UrbPopDensity,-3.546106044314328e-05,1.3677701857103477e-06
Paris,UrbBuildDensity,0.034685828487350294,0.0309066283581747
Paris,IntersecDensity,,0.1234215383244413
Paris,street_length,,0.2662946901867498
Paris,bike_lane_share,-0.013884100742043371,0.0015818555910667
Paris,transit_accessibility,-0.0001091729270895,0.0008022229052898
Paris,LU_UrbFab,0.00966133417969236,0.0036891109881679
Paris,LU_Comm,,0.1610734714961794
France_other,IncomeDetailed_Numeric,0.0009011224965249,1.197517282404723e-36
France_other,HHSize,,0.7407363040230278
France_other,maxAgeHH,-0.0095463996393849,0.0044108375554918
France_other,UniversityEducation,0.6178627765316631,1.4017105214661692e-07
France_other,HHType_simp[T.MultiAdult_Kids],,0.6233038829111383
France_other,HHType_simp[T.Single_Female],-0.941938810314278,8.822303465615357e-07
France_other,HHType_simp[T.Single_Male],-0.773860007448206,7.592931291893172e-05
France_other,HHType_simp[T.Single_Parent],-0.9235495668064556,3.0899181302223414e-05
France_other,DistCenter,0.0475290336751183,0.0284310504358936
France_other,DistSubcenter,,0.8345284518036254
France_other,UrbPopDensity,,0.3374425203108308
France_other,UrbBuildDensity,,0.8387833898145101
France_other,IntersecDensity,-0.0071322237700974,0.049415369455809
France_other,street_length,,0.8192555840930525
France_other,bike_lane_share,-0.013231254345901184,0.0079412760538817
France_other,transit_accessibility,,0.293675031431275
France_other,LU_UrbFab,0.007221367599184786,0.0716527488607506
France_other,LU_Comm,,0.5111159588468877
Germany_other,IncomeDetailed_Numeric,0.000496158104057,2.7365409796049066e-59
Germany_other,HHSize,,0.452492901392948
Germany_other,maxAgeHH,0.0079797759071275,0.0043002484803377
Germany_other,UniversityEducation,-0.1462246819577798,0.0503557411184999
Germany_other,HHType_simp[T.MultiAdult_Kids],,0.3701955891782643
Germany_other,HHType_simp[T.Single_Female],,0.9079575410200617
Germany_other,HHType_simp[T.Single_Male],,0.7984847159659573
Germany_other,HHType_simp[T.Single_Parent],,0.6613871182092124
Germany_other,DistCenter,0.082659791895277,6.249182917493853e-06
Germany_other,DistSubcenter,,0.6409216293284401
Germany_other,UrbPopDensity,-4.397968983662866e-05,0.0082888278228138
Germany_other,UrbBuildDensity,,0.5558613795557497
Germany_other,IntersecDensity,-0.0078211782262633,0.0766246414242833
Germany_other,street_length,,0.1689885802342507
Germany_other,bike_lane_share,-0.014735248894216691,1.4002445525994844e-05
Germany_other,transit_accessibility,,0.2141390453656116
Germany_other,LU_UrbFab,,0.2321113590651271
Germany_other,LU_Comm,,0.6859365769456023
