param,coefficient,p
Intercept,-3.659584376625636,7.819593685907731e-26
HHSize,0.3694269696724327,6.391073178515805e-54
IncomeDetailed_Numeric,0.00045776190828566407,2.507856988500226e-134
maxAgeHH,0.023893755066493796,1.2044580401098304e-34
UniversityEducation,-0.17447005055871187,0.0008553105573753185
InEmployment,0.3485051156842755,7.356747221991231e-05
AllRetired,0.045091535577458874,0.6392787228507973
UrbPopDensity,-6.258154358246162e-05,3.2859332945427916e-27
DistSubcenter,0.022276620710142477,0.18939587083898124
DistCenter,0.08620266659512145,6.597425554401373e-19
bike_lane_share,-0.10537812126904846,0.7502633109322289
IntersecDensity,0.0016069674673948953,0.6079246581683949
street_length,0.0023754045473710936,0.17101010226749042
LU_UrbFab,1.0030385511316222,4.205833273696702e-07
LU_Comm,-0.22737866263727646,0.3658997244812375
transit_accessibility,-2.1715042383243502e-05,0.38496982630898025
