param,coefficient,p
Intercept,0.7265425680131659,0.752098890163776
HHType_simp[T.MultiAdult_Kids],0.5052783788518657,0.4042586721437572
HHType_simp[T.Single_Female],-0.8550473248010736,0.06335593821391747
HHType_simp[T.Single_Male],-0.8010500579429585,0.08916442504612239
HHType_simp[T.Single_Parent],-0.16314437329916603,0.7900829832603722
HHSize,0.09064097772711031,0.7695597780454327
IncomeDetailed_Numeric,0.00034765393555829393,0.00013044116395578002
maxAgeHH,0.026470906524497104,0.012543601860614567
UniversityEducation,-0.05132847604277215,0.8205252503937023
InEmployment,0.6724827208544103,0.17346759779291374
AllRetired,0.12791702197242957,0.7941291089969977
UrbPopDensity,-6.868959788707398e-05,0.3148498684644857
UrbBuildDensity,1.6774919710173893e-07,0.2056776376444873
DistSubcenter,-0.012165192217577983,0.779476084810351
DistCenter,0.09074575082456986,0.4087832275411739
bike_lane_share,0.5004101116438898,0.687787592124613
IntersecDensity,-0.025953096952067507,0.22011179415625598
street_length,-0.012313700621485539,0.46007442943118604
LU_UrbFab,1.6637750767483241,0.41740624755805733
LU_Comm,-5.225335196931794,0.011132344884730923
transit_accessibility,-5.5548330755305046e-05,0.7529520024134684
