param,coefficient,p
Intercept,3.563076111142677,0.6359777072967456
HHSize,0.5643974467254657,0.00015048106041016393
IncomeDetailed_Numeric,0.000595691137628076,5.512185790348413e-08
maxAgeHH,0.014488646116827479,0.09362802403410918
UniversityEducation,-0.05686724186832622,0.8003219808241337
InEmployment,0.8253864503579655,0.010465270376839116
AllRetired,0.27181251093811376,0.5022557172515518
UrbPopDensity,-0.006252339472100151,0.8071486840113744
UrbBuildDensity,0.006220723323003389,0.8463091649799465
DistSubcenter,-0.059976926119226066,0.7461556573860296
DistCenter,0.1163661406585823,0.7381608269160558
bike_lane_share,-0.055028369003257235,0.4710794212081738
IntersecDensity,-0.020448572390439016,0.5436261707221177
street_length,-0.046742062152368355,0.4449635053899948
LU_UrbFab,0.06271226182549561,0.0761916168390647
LU_Comm,0.00011862369469683622,0.8564617603224058
transit_accessibility,-0.09630399799469926,0.11551768985707526
