param,coefficient,p
Intercept,0.07060296217549258,0.7670101309081235
HHSize,0.3579845842334868,0.012538546191176753
IncomeDetailed_Numeric,0.0008641360362857494,3.366459288816287e-11
maxAgeHH,-0.009573987194725514,0.26512792471293456
UniversityEducation,-0.12080333972202567,0.5441627313845487
InEmployment,0.5896021873260334,0.09306173558082526
AllRetired,0.45582856648866915,0.27797402411107347
UrbPopDensity,-0.021187277057013315,0.41386850058204494
UrbBuildDensity,0.013593541413942919,0.777085995945531
DistSubcenter,-0.29741644085831365,0.16322859954985292
DistCenter,-0.08274641352220165,0.7291069045267098
bike_lane_share,-0.009594668435468436,0.7912780146619465
IntersecDensity,0.019582669958439474,0.6809268582333123
street_length,-0.0002219428913406407,0.7442820883209819
LU_UrbFab,0.02141341083304119,0.30934448237576334
LU_Comm,-0.008865070039173507,0.6308744159093954
transit_accessibility,-0.020704577249225545,0.6140411401769472
