param,coefficient,p
Intercept,-1.0213079494775448,0.1918835725624754
HHType_simp[T.MultiAdult_Kids],0.2658314648993627,0.06481252757138217
HHType_simp[T.Single_Female],-0.5997212251109244,1.5249523100514425e-07
HHType_simp[T.Single_Male],-0.36448754486945173,0.002410300973890815
HHType_simp[T.Single_Parent],-0.3672384956688645,0.006387967058719885
HHSize,0.01622520324170383,0.709627961687165
IncomeDetailed_Numeric,0.0006290413842725106,1.2341633181397058e-94
maxAgeHH,0.015172278750037349,4.7944510549842543e-08
UniversityEducation,0.27423461558147716,0.00029002821558898884
InEmployment,0.26389446521264276,0.02794122334996669
AllRetired,0.2863769614693133,0.051372941915504414
UrbPopDensity,-3.546106044314328e-05,1.3677701857103477e-06
UrbBuildDensity,3.468582848735029e-08,0.030906628358174766
DistSubcenter,0.008722358383510112,0.6598337309647173
DistCenter,0.04610528273138913,0.001541892554968548
bike_lane_share,-1.388410074204337,0.0015818555910667913
IntersecDensity,-0.005673811220106535,0.12342153832444137
street_length,-0.005544046959236784,0.2662946901867498
LU_UrbFab,0.9661334179692359,0.0036891109881679388
LU_Comm,-0.635788114743021,0.16107347149617945
transit_accessibility,-0.00010917292708956014,0.0008022229052898461
