param,coefficient,p
Intercept,4.4063953808529135,0.999997649172516
HHType_simp[T.MultiAdult_Kids],0.4230404034673312,0.4688581070415523
HHType_simp[T.Single_Female],-1.530769886113963,0.00015190782615842851
HHType_simp[T.Single_Male],-0.6169334254525057,0.1754251440283476
HHType_simp[T.Single_Parent],-0.821355586707531,0.17024470772369898
HHSize,-0.3459958608882364,0.15701136600186585
IncomeDetailed_Numeric,0.0005769578180479714,1.082301371158657e-05
maxAgeHH,0.006808583426162206,0.5399206807556686
UniversityEducation,-0.27123107694424703,0.2960871651096956
InEmployment,1.5028860146122707,0.0005568659545442555
AllRetired,0.5435501603735235,0.3112217410170322
UrbPopDensity,-0.0004800596501380539,0.999999082172588
UrbBuildDensity,9.146754278331714e-07,0.9999994628112144
DistSubcenter,-0.4627548614614325,0.9999991544514693
DistCenter,0.3324747098564492,0.9999994679795131
bike_lane_share,-2.428459837512774,0.9999997114149728
IntersecDensity,-0.08264396057416451,0.9999973492050602
street_length,-0.025119194698238992,0.9999980431099065
LU_UrbFab,2.133781642246669,0.9999998571598733
LU_Comm,2.7917067973445597,0.9999998451784923
transit_accessibility,-0.0003213217475716509,0.9999996564570597
