param,coefficient,p
Intercept,5660.487047113976,5.070910542223493e-22
Country[T.France],-1705.185226552274,6.061395998525931e-08
Country[T.Germany],-2282.2831116210423,3.2397184248799026e-13
Country[T.Spain],-1893.171248220818,2.6669605351625146e-09
DistSubcenter_res,56.475632611134166,0.003001126622308925
DistCenter_res,110.14352333005255,1.8619975495636777e-33
UrbPopDensity_res,-0.03792798249606819,1.942689408163566e-07
UrbBuildDensity_res,-3.1071792806060346e-06,0.4450267939383674
IntersecDensity_res,-18.900302625126347,8.865506975965112e-13
street_length_res,0.7970175095191037,0.4919749244185999
LU_Comm_res,-2386.3859940415987,2.048882826582729e-11
LU_UrbFab_res,-896.2605603142978,0.0005842073085943427
Commute_Trip,7258.014668017868,1.0663717221661335e-25
Age,25.149781191345774,0.0003438344263244035
