param,coefficient,p
Intercept,3756.6485739025647,0.00020931914237615854
DistSubcenter_res,31.92182705025467,0.4840862548005531
DistCenter_res,165.64139655086686,1.5976246013113576e-06
UrbPopDensity_res,0.031095092305448258,0.3364284480988765
UrbBuildDensity_res,3.775959595740326e-06,0.7262730884876784
IntersecDensity_res,-5.8459527677753265,0.4982976711365228
street_length_res,-5.1536578766126535,0.29582996866087535
LU_Comm_res,-1441.5486437653585,0.031254340778188935
LU_UrbFab_res,-1653.313588979466,0.021842827370075722
bike_lane_share_res,-1010.597383109605,0.1111094598792731
Commute_Trip,3550.9539350541268,0.0017135357392921355
Age,12.129760655481814,0.2261005571907836
