param,coefficient,p
Intercept,2480.4286862028157,0.3133721778490328
DistSubcenter_res,132.70624279050648,0.27784803833261806
DistCenter_res,255.2229852321088,0.10880710808256622
UrbPopDensity_res,0.07088122331009097,0.5000498330248623
UrbBuildDensity_res,0.00011195310098499554,0.17742017731645082
street_length_res,1.871099607252619,0.6254238665155429
LU_Comm_res,-4774.335680487016,0.047998967743363215
LU_UrbFab_res,-2511.0522384474216,0.40417769041917184
Commute_Trip,8478.723040463352,0.11130640920457367
Age,-9.183721310505343,0.6239165523988319
