param,coefficient,p
Intercept,11163.866647084906,2.1153716688937553e-296
Education[T.Primary/None],-1118.128267546922,9.06271832722429e-17
Education[T.Secondary],-656.6346854731363,1.3010934629111847e-13
Education[T.University],-39.33896738961341,0.5782465004189613
Season[T.Spring],53.67352217458257,0.5355593092906321
Season[T.Summer],-63.597013782995155,0.5083505162551768
Season[T.Winter],-167.11367968282377,0.039702670073089134
Country[T.France],-2095.3553057512454,1.7154888321257495e-46
Country[T.Germany],-364.92350398002094,0.021615657479622137
Country[T.Spain],-2164.4081222914238,1.0694890599612731e-45
HHSize,33.69248062590987,0.08569658630914817
Sex,-1381.3661110506973,8.522401707723466e-203
Age,-21.381663066338213,6.359302791893542e-27
DistSubcenter_res,162.6448850025266,2.802817740877633e-41
DistCenter_res,357.6722563849132,0.0
UrbPopDensity_res,-0.012863738442439189,0.0020809185303951134
UrbBuildDensity_res,-4.318444286583562e-06,0.13420179088435777
IntersecDensity_res,-13.782121483840719,2.812298845075565e-23
street_length_res,2.3546947692281512,0.195275047249068
LU_Comm_res,-3351.432239889851,5.817035463272617e-44
LU_UrbFab_res,-2036.2250519953732,4.726621569100791e-33
