param,coefficient,p
Country[T.France],-1831.4451970488435,2.6683431152069126e-41
Country[T.Germany],-1083.700242985969,1.2474443448974913e-14
Country[T.Spain],-1663.0178306861444,1.942295998313836e-27
Sex,-1185.6627373749989,3.0043639995734515e-163
Age,-19.18596382945236,1.9266659805854964e-25
HHSize,,0.3137523429215859
DistCenter_res,371.3224972383295,0.0
DistSubcenter_res,150.0497665365918,3.10880992524693e-41
UrbPopDensity_res,-0.0196839705456845,1.0033174996422287e-07
UrbBuildDensity_res,-4.973403625102475,0.0521998244047556
IntersecDensity_res,-13.035011318273598,1.3819235419301374e-23
street_length_res,9.097333935783231,5.889978226399617e-09
bike_lane_share_res,,0.2348116705999107
LU_UrbFab_res,-15.406375899914075,2.5078251017188066e-17
LU_Comm_res,-32.86755280413085,3.465094828812449e-45
