city,param,coefficient,p
Berlin,Sex,-1302.6107607015183,4.764491023600288e-28
Berlin,Age,-23.70201477525453,3.080810268373891e-05
Berlin,HHSize,,0.3643028407471447
Berlin,DistCenter_res,656.2599042099316,9.196820347898093e-189
Berlin,DistSubcenter_res,93.06279383077168,0.027465825209252
Berlin,UrbPopDensity_res,,0.2185051935072337
Berlin,UrbBuildDensity_res,,0.6795612155452819
Berlin,IntersecDensity_res,-18.152216175979383,0.0294251734499265
Berlin,street_length_res,-8.71301502456139,0.0798094799513036
Berlin,LU_UrbFab_res,,0.7972466635913245
Berlin,LU_Comm_res,,0.6451381465933979
Paris,Sex,-1280.1149676493428,1.0877615879117754e-26
Paris,Age,-11.217048631035109,0.047333732184738
Paris,HHSize,,0.6662543854685672
Paris,DistCenter_res,412.57493340971433,5.553993676337694e-69
Paris,DistSubcenter_res,202.12700103717805,2.035041360232952e-09
Paris,UrbPopDensity_res,,0.6374494660913512
Paris,UrbBuildDensity_res,,0.2955577949233599
Paris,IntersecDensity_res,,0.3062648677432561
Paris,street_length_res,,0.3385604554639289
Paris,LU_UrbFab_res,,0.1054727624883823
Paris,LU_Comm_res,,0.1576403893434728
Madrid,Sex,-1005.7942052482008,1.1104043783093017e-42
Madrid,Age,-18.87132947379257,2.9447937782064197e-09
Madrid,HHSize,,0.6639398057932734
Madrid,DistCenter_res,341.2727174795081,0.0
Madrid,DistSubcenter_res,154.2930272644929,4.440129585044261e-21
Madrid,UrbPopDensity_res,0.0332115369653124,7.011944676152093e-09
Madrid,UrbBuildDensity_res,,0.7889576173044914
Madrid,IntersecDensity_res,-9.450451721711818,1.6013107537735037e-06
Madrid,street_length_res,8.53676842183845,0.0399663809723556
Madrid,LU_UrbFab_res,-38.4811159690955,4.536762286978702e-36
Madrid,LU_Comm_res,-21.35871231161072,1.803147338776596e-05
Wien,Sex,-1615.681618241974,1.2857257234480441e-08
Wien,Age,,0.7478457954099438
Wien,HHSize,,0.4060453718428066
Wien,DistCenter_res,776.8877208985386,7.535372920102928e-20
Wien,DistSubcenter_res,-393.8721291881648,8.905061376283234e-05
Wien,UrbPopDensity_res,,0.2096772626673773
Wien,UrbBuildDensity_res,,0.6461808021371072
Wien,IntersecDensity_res,,0.1619188456695098
Wien,street_length_res,,0.3089341362259053
Wien,LU_UrbFab_res,-57.54455003051523,0.0023065696928081
Wien,LU_Comm_res,-40.3184225271676,0.067852040195097
France_other,Sex,-1260.388036789448,1.256292456346569e-60
France_other,Age,-31.33423874635737,6.217112547454765e-20
France_other,HHSize,88.57478174935278,0.003864499145126
France_other,DistCenter_res,451.6961427532446,8.946144137418964e-284
France_other,DistSubcenter_res,211.6223827403675,5.6310507041119864e-21
France_other,UrbPopDensity_res,-0.028773071026817,0.0244377237365356
France_other,UrbBuildDensity_res,37.4378623389311,0.0210384038178521
France_other,IntersecDensity_res,-24.79008046491192,4.2057349042180663e-19
France_other,street_length_res,8.172976795589637,0.0046367150297692
France_other,LU_UrbFab_res,,0.5404697984658899
France_other,LU_Comm_res,-18.56397280423477,1.0441841273572327e-05
Germany_other,Sex,-1337.9612709849666,1.8865516931410297e-12
Germany_other,Age,-32.25960778150124,0.0001093622539825
Germany_other,HHSize,,0.6686736099196336
Germany_other,DistCenter_res,471.0820844734933,6.433012889387631e-23
Germany_other,DistSubcenter_res,203.91619793195812,0.0044646720659405
Germany_other,UrbPopDensity_res,0.2284164494798304,3.0149475555221005e-06
Germany_other,UrbBuildDensity_res,,0.6046864196594941
Germany_other,IntersecDensity_res,,0.1023980443666663
Germany_other,street_length_res,,0.6230203066160171
Germany_other,LU_UrbFab_res,-39.72082726205297,0.0002018118943134
Germany_other,LU_Comm_res,-22.209191595353133,0.0313505957802985
