param,coefficient,p
Intercept,2438.441930094085,0.31155045866012476
Education[T.Primary/None],1002.0502496402237,0.6008968123237666
Education[T.Secondary],-552.3055827898936,0.58247051340736
Education[T.University],-369.8173698718763,0.6362545758498048
Season[T.Spring],-1611.421205858217,0.1175221578886674
Season[T.Winter],-1282.3606927817423,0.2112292224474236
HHSize,50.96496294053392,0.511786893468094
Sex,-748.0958317091334,0.0010329821634946497
Age,-15.84787325527308,0.050072059531582516
DistSubcenter_res,191.00544268452114,0.09795362452823267
DistCenter_res,879.3664543262165,2.445742596780874e-33
UrbPopDensity_res,0.03722323678960508,0.6556994109215849
UrbBuildDensity_res,6.558805656453068e-05,0.5285366529885369
IntersecDensity_res,-0.9142455453457791,0.6915371920912131
street_length_res,22.405579595130085,0.041218537801113286
LU_Comm_res,-1255.4056602771639,0.29932170414869064
LU_UrbFab_res,23.910121954943374,0.7721550442074689
