param,coefficient,p
Intercept,13759.985743306905,5.25044568637754e-06
Education[T.Primary/None],266.9310698145257,0.8559360393594038
Education[T.Secondary],-1194.6481292825074,0.3408709393582113
Education[T.University],-190.33851095433153,0.6552046197862578
Season[T.Spring],502.89937396087316,0.4332048267830364
Season[T.Summer],799.7763118457754,0.2514027358282935
Season[T.Winter],-567.4240762710491,0.36827618972966053
HHSize,-233.12746230553088,0.23851561067073104
Sex,-1049.4908781708361,0.017081076313813007
Age,-15.755869796694506,0.4823463649258693
DistSubcenter_res,-131.13560201801903,0.5237970538730186
DistCenter_res,14.012211225448823,0.7155878903675184
UrbPopDensity_res,-0.21292261447584535,0.23912114634146261
UrbBuildDensity_res,-0.0006172773196338015,0.04511177377048595
street_length_res,-4.060022091170853,0.7518975911891305
LU_Comm_res,2490.2011881338503,0.5249240789540518
LU_UrbFab_res,-236.90223157807364,0.8164523699823244
