param,coefficient,p
Intercept,10797.874965849393,0.0009828062854609976
Education[T.Primary/None],-730.0953954840808,0.5958844982724802
Education[T.Secondary],-1075.6055396436238,0.4981313513276127
Education[T.University],1946.0764700236036,0.00013936367961551763
Season[T.Spring],-103.60377945540066,0.806642036041893
Season[T.Summer],1112.622504100401,0.073678728088732
Season[T.Winter],119.58703663644575,0.7023460599788423
HHSize,-3.8741623230041204,0.8126215014314815
Sex,-2491.912394431494,4.1460591369494544e-10
Age,-99.2599981844525,9.612696077999578e-08
DistSubcenter_res,519.3504955398002,0.004306751437724146
DistCenter_res,544.9224576658061,1.705397417385718e-08
UrbPopDensity_res,5.183813509467443,0.5234688484501423
UrbBuildDensity_res,177.03333788824727,0.10283288810016854
street_length_res,1.3312606315862199,0.7595929773053077
LU_Comm_res,-2.2042230793849953,0.7153198472652497
LU_UrbFab_res,-12.961433248926545,0.5432187671629931
