param,coefficient,p
Intercept,4593.2314474245795,3.915569455197667e-11
Education[T.Primary/None],-146.74383306894373,0.641719844194443
Education[T.Secondary],253.84676527039542,0.473448304343977
Education[T.University],1010.4382291948519,0.1571891371174658
Season[T.Spring],-102.16359831176935,0.4323851506920419
Season[T.Winter],-274.3286362549156,0.012346381314363112
HHSize,98.22931530736662,0.002405407249093626
Sex,-1257.395909181298,4.1149228821435436e-60
Age,-30.977601921614742,2.1542581503413666e-19
DistSubcenter_res,226.95778655099105,7.947467478430739e-25
DistCenter_res,488.82461058220514,0.0
UrbPopDensity_res,-0.04767615703654671,0.00026330201733274503
UrbBuildDensity_res,-6.472046846069879e-06,0.4944103320859953
street_length_res,20.794795161608064,1.608602538923785e-21
LU_Comm_res,-1939.1256807750656,1.1441075218557998e-06
LU_UrbFab_res,-903.0373313714156,0.0057911243273027005
