param,coefficient,p
Intercept,3956.9368447212164,0.5351296583711428
Education[T.Primary/None],-1441.2260888230494,0.5344338385470451
Education[T.Secondary],-227.45507632523888,0.7266773396638383
Education[T.University],647.5673272480967,0.49095165841664756
Season[T.Spring],573.2768789827574,0.5182241183805241
Season[T.Summer],-1171.0122092103802,0.2392377867102224
Season[T.Winter],966.9756315437963,0.3023391749596029
HHSize,115.42617980186421,0.681774751804743
Sex,-1535.4224222936793,0.03493441161379455
Age,-18.728036370818444,0.5423911808090179
DistSubcenter_res,394.21134549104636,0.2619353784201027
DistCenter_res,594.8609808718973,0.004263029959967808
UrbPopDensity_res,0.4198107027993666,0.028395796882605254
UrbBuildDensity_res,-5.807943918300081e-05,0.7647523279278494
IntersecDensity_res,21.939739325002634,0.6461114970790223
street_length_res,29.210487181310075,0.5323543117927875
LU_Comm_res,-1551.9707650926991,0.6055129153591374
LU_UrbFab_res,-10749.057741015687,0.026949393084555455
