param,coefficient,p
Intercept,35898.11279679355,0.009863986799655871
Education[T.Secondary],-1950.8686449563486,0.11076289631086574
Education[T.University],-1264.8928163595967,0.2887073077935514
Education[T.Unknown/Other],-81.73436948530542,0.8734699366656185
HHSize,-356.61524078689246,0.09421178593626366
Sex,63.10897799588851,0.6123168365092246
Age,-16.913610774139517,0.4569302737793216
DistSubcenter_res,-846.1986028661904,0.11742686582562073
DistCenter_res,-677.9125004253714,0.5119451868627855
UrbPopDensity_res,0.26832026542408666,0.49466127372407165
UrbBuildDensity_res,-0.0018951459041337394,0.03055965066127543
IntersecDensity_res,-110.01725723601908,0.17636646874159925
street_length_res,-99.61650765506919,0.3585511215892144
LU_Comm_res,1258.158086054496,0.7928786985223516
LU_UrbFab_res,-4006.664452850723,0.45668537869977005
bike_lane_share_res,-10241.369901484532,0.5714289758341441
