param,coefficient,p
Intercept,-1671.4720336003331,0.675255264351007
Education[T.Primary/None],-4151.660207795847,0.16135672647018562
Education[T.Secondary],1060.7462604553302,0.4258481794145103
Education[T.University],-611.081839553363,0.3051449486072811
Season[T.Spring],-89.30038990636815,0.7107631902059743
Season[T.Summer],-776.8958755961152,0.32750342561826845
Season[T.Winter],-596.7988142534458,0.4354158751230946
HHSize,646.9273878842299,0.008199812393533441
Sex,-2321.6886842370172,1.653622971298179e-05
Age,-52.87407897617244,0.03329735630720893
DistSubcenter_res,463.08207607771124,0.05543385764362148
DistCenter_res,765.5198965231344,0.00462374583000402
UrbPopDensity_res,-0.12272987442847365,0.6306300262844132
UrbBuildDensity_res,0.00028922665633472877,0.047542484538140674
IntersecDensity_res,97.2860374196606,0.08492850332927175
street_length_res,62.18339478334545,0.03229489020262272
LU_Comm_res,-10934.96553470214,0.012306359456445287
LU_UrbFab_res,-2946.25425040211,0.5426951691410186
