param,coefficient,p
Intercept,7625.864152119181,6.359506858632428e-06
Education[T.Primary/None],-533.4919321968464,0.6659031482265613
Education[T.Secondary],-1177.2034320668363,0.4067217439733482
Education[T.University],-676.8176186892422,0.5772472361383109
Season[T.Spring],-140.23412422467203,0.5555736560070396
Season[T.Winter],-402.6571026498305,0.047728098417619234
HHSize,153.14399743555649,0.013184450791146576
Sex,-1702.7475035082623,3.61373659648234e-28
Age,-24.619991366906522,0.0004709298268863408
DistSubcenter_res,211.54480276291716,3.073219300322598e-08
DistCenter_res,457.144577143432,5.130439097362835e-64
UrbPopDensity_res,-8.604104039536967,0.0004082250227037975
UrbBuildDensity_res,-4.269784036191666,0.596203222260763
street_length_res,7.491624666505301,0.3013085445797119
LU_Comm_res,-25.66631730284361,0.002357518215481464
LU_UrbFab_res,2.168435322496874,0.6546965140609498
