param,coefficient,p
Intercept,7409.315551447578,1.3832866610851664e-37
Education[T.Secondary],497.19818522434747,0.01047556793810896
Education[T.University],1110.7764051688953,1.3313551732727908e-10
Education[T.Unknown/Other],1218.8348531280158,7.87627895010326e-10
HHSize,6.748087455306074,0.7262275537747506
Sex,-1006.6483818375743,1.0638288676532417e-44
Age,-18.851985686867085,5.234516932125086e-09
DistSubcenter_res,162.05545609498185,1.3727729257995867e-23
DistCenter_res,345.55719412695026,0.0
UrbPopDensity_res,0.03163171312821162,8.446810658370683e-08
UrbBuildDensity_res,1.7109693808619796e-06,0.4262244604091628
IntersecDensity_res,-8.820714780280262,1.2933035434461529e-05
street_length_res,8.993735823780757,0.02563024546940662
LU_Comm_res,-2138.733235089621,4.898576387230064e-06
LU_UrbFab_res,-3792.646034450318,8.488637525990548e-35
bike_lane_share_res,1951.9705448285458,0.13248028680570378
