param,coefficient,p
Intercept,13483.684030666873,4.443255560087703e-05
Education[T.Primary/None],-2560.4985863274496,0.2692363806140794
Education[T.Secondary],-964.5068265043285,0.3822880032312731
Education[T.University],-2311.35534371858,2.1287238660998948e-05
Season[T.Spring],1139.1108920650759,0.09028638656733927
Season[T.Summer],2320.970219356611,0.0027651626338395996
Season[T.Winter],1273.7433203387482,0.06337069570178065
HHSize,302.4997338006341,0.19863068771114237
Sex,-1842.6191043938852,0.00020269057825469502
Age,-27.972885978264642,0.21798137185714067
DistSubcenter_res,-994.2822504186993,0.05280222112316312
DistCenter_res,241.39163176589423,0.44979272522046126
UrbPopDensity_res,-2.457480399209301e-05,0.8341227508861633
UrbBuildDensity_res,-0.0003864380571961839,0.023053242624573197
street_length_res,-2.497495683639112,0.7285690555938087
LU_Comm_res,-3269.673937073422,0.3291245376201382
LU_UrbFab_res,-973.2549841815744,0.7912547861394416
