param,coefficient,p
Intercept,5708.087655688685,0.011353146569041758
Education[T.Primary/None],-2252.3252875075677,0.30923087162393875
Education[T.Secondary],-2240.4730318698616,0.22921704939074397
Education[T.University],-1497.016652457295,0.42085846806082455
Season[T.Spring],-61.06108553496407,0.7225548015385712
Season[T.Winter],169.94238951453224,0.4014985998000124
HHSize,74.49119484696756,0.34994165444434033
Sex,-999.7328157944183,4.19278641211134e-07
Age,-15.10103323311288,0.09528955124808516
DistSubcenter_res,384.97224655948884,3.432534425550231e-05
DistCenter_res,704.0348185078058,1.1938433551163329e-28
UrbPopDensity_res,0.02223896424008313,0.6499250982518812
UrbBuildDensity_res,-7.932771318842239e-05,0.30132905893889966
IntersecDensity_res,0.971057568265009,0.7751117535108213
street_length_res,3.3100350530481513,0.6218486999604124
LU_Comm_res,2047.5158156024877,0.24056141882211193
LU_UrbFab_res,-464.00160240626326,0.5311665439829415
