param,coefficient,p
Intercept,3979.8263396775938,0.02542753062548794
Education[T.Secondary],564.1179150804692,0.41570155686907473
Education[T.University],317.26742341533486,0.6462170691943286
Season[T.Spring],541.7813848971884,0.2569485304697382
Season[T.Winter],916.11997262338,0.00028771022801169226
HHSize,-94.72726350332239,0.29373481847677146
Sex,-686.9628346924673,0.002775301872144548
Age,-35.39497297062652,9.677485616446255e-05
DistSubcenter_res,205.75676947627187,0.2651166243241781
DistCenter_res,950.28801316657,5.557849547878502e-05
UrbPopDensity_res,-0.08620533677485757,0.0660335122633718
UrbBuildDensity_res,6.836450675543317e-05,0.349170215681245
IntersecDensity_res,-0.9873345638717161,0.6837688367752895
street_length_res,-1.3838981850975796,0.612131968510854
LU_Comm_res,-3571.4712995890795,0.012252206686533752
LU_UrbFab_res,-1246.3967821141787,0.24318738540249038
bike_lane_share_res,-28817.91469165754,0.00039003092041679983
