param,coefficient,p
Intercept,6847.755910122247,0.00013991225215899446
Education[T.Primary/None],-606.6598131156554,0.5910039235539984
Education[T.Secondary],363.55068937475085,0.4246332619922465
Education[T.University],-86.92245861994084,0.6665188607651642
Season[T.Spring],341.57323886170684,0.5563907179473025
Season[T.Summer],493.9436733148676,0.3639099932245944
Season[T.Winter],799.3373614959827,0.022747496831885382
HHSize,-29.852207195476744,0.7450942968191021
Sex,-1905.537797874094,1.2841701650568155e-09
Age,-1.5807992830154598,0.720545504472336
DistSubcenter_res,-186.93100863536907,0.05104169929134528
DistCenter_res,696.8102692537603,5.817198500683271e-16
UrbPopDensity_res,-0.06833701631153637,0.11527761320206295
UrbBuildDensity_res,5.5593564977495015e-08,0.7479628892985857
street_length_res,9.651007316967105,0.37531166662700083
LU_Comm_res,-872.2236831240679,0.6450318365492228
