param,coefficient,p
Intercept,12874.844120813666,0.02191823621657794
FeatureD_Education[T.Primary/None],3188.866988799699,0.4806798591802024
FeatureD_Education[T.Secondary],5592.18243964103,0.2218739532200938
FeatureD_Education[T.University],5349.080288747142,0.2415348008439974
FeatureD_Occupation[T.Retired],1704.6268483075787,0.2091021986162587
FeatureD_Occupation[T.Student_3rdLevel],-3232.82354343399,0.034941888707624734
FeatureD_Occupation[T.Student_School],-6811.999773049132,0.0008319777127143614
FeatureD_Occupation[T.Unemployed/Other],-973.0986262482844,0.4128207491259439
FeatureD_Season[T.Winter],-816.42805515787,0.20083567887553294
FeatureD_HHSize,98.09368854690484,0.6673922656869417
FeatureD_Sex,-1595.7726786676053,0.01727291956052484
FeatureD_Age,-123.13630197060496,6.878433299395504e-05
FeatureD_Commute_Trip,9000.08661953191,1.513355408336268e-20
FeatureD_DistCenter_res,914.7313892397327,1.342509692452495e-07
FeatureD_DistSubcenter_res,-282.9642628864674,0.35886148056550843
FeatureD_UrbPopDensity_res,0.21956020192747647,0.47690205402100866
FeatureD_UrbBuildDensity_res,5.645888627083542e-05,0.7401097116509834
FeatureD_IntersecDensity_res,-65.22575633771517,0.09144411503474334
FeatureD_street_length_res,46.68804474452815,0.008548678800762727
FeatureD_LU_Comm_res,-9878.536969113864,0.10129831886970297
FeatureD_LU_UrbFab_res,-6789.186276014799,0.029027702866682582
FeatureD_bike_lane_share_res,1633.043441323238,0.7332880915305268
