param,coefficient,p
Intercept,16479.057704505016,1.6233873681467133e-51
FeatureD_Education[T.Primary/None],-3168.5740077097876,2.5920439504904192e-33
FeatureD_Education[T.Secondary],-984.2270442201428,2.1592925663529706e-05
FeatureD_Education[T.University],718.7811798127461,0.0013850229599082714
FeatureD_Occupation[T.Pre-School],-8611.962946503558,1.0092644841502696e-50
FeatureD_Occupation[T.Retired],-1500.336484198582,5.319447552018664e-06
FeatureD_Occupation[T.Student_3rdLevel],3386.729925256597,6.621088523189148e-17
FeatureD_Occupation[T.Student_School],-8150.390858775825,5.160526722752654e-100
FeatureD_Occupation[T.Unemployed/Other],-2451.6051542316823,1.703702666168473e-15
FeatureD_Season[T.Summer],375.7859262260531,0.29667066611251486
FeatureD_Season[T.Winter],458.1136101493728,0.04051784005590273
FeatureD_HHSize,186.84588077679936,0.003580796926407337
FeatureD_Sex,-1496.0637048879485,4.134068151660851e-28
FeatureD_Age,-62.193361108057864,1.1285661806089372e-21
FeatureD_Commute_Trip,6282.746284508684,1.7364170412093223e-142
FeatureD_DistCenter_res,333.5412883535887,1.8419972085000627e-143
FeatureD_DistSubcenter_res,339.1213035714879,1.5551194903105286e-26
FeatureD_UrbPopDensity_res,-0.017767256359017138,0.09770715384588559
FeatureD_UrbBuildDensity_res,1.4691157252718343e-06,0.668123537399127
FeatureD_IntersecDensity_res,-25.097913410764562,3.09908602244642e-10
FeatureD_street_length_res,9.47384696202995,0.21111617640803793
FeatureD_LU_Comm_res,-3288.8473929405645,0.00012117980639680067
FeatureD_LU_UrbFab_res,-2998.237072090343,2.5906649772008786e-07
FeatureD_bike_lane_share_res,-7042.717307606813,0.0068431472310678376
