param,coefficient,p
Intercept,22874.85296244648,0.0005798162326796767
FeatureD_Education[T.Primary/None],711.6804568480615,0.5852171883777076
FeatureD_Education[T.Secondary],541.2604024003206,0.5982618475911121
FeatureD_Education[T.University],437.55756862081654,0.497439488175732
FeatureD_Occupation[T.Pre-School],-7862.018852197681,0.005112928286479599
FeatureD_Occupation[T.Retired],399.8839565944371,0.6531194231690078
FeatureD_Occupation[T.Student_3rdLevel],-4279.401590351565,0.005577598829976414
FeatureD_Occupation[T.Student_School],-5666.069969970001,0.029886742792938095
FeatureD_Occupation[T.Unemployed/Other],308.4623480281581,0.6728991504752545
FeatureD_Season[T.Spring],-714.3457716114568,0.32238818006423353
FeatureD_Season[T.Summer],586.3302860263888,0.49001025614785043
FeatureD_Season[T.Winter],-479.40985709853624,0.48897627473861
FeatureD_HHSize,977.0247358292602,0.0014526757549907885
FeatureD_Sex,-1652.5700788669565,0.0026330556413991396
FeatureD_Age,-14.616539993084427,0.5899331795151987
FeatureD_Commute_Trip,3791.346361619344,3.3621225109026894e-05
FeatureD_DistCenter_res,472.74132747650117,0.4295440202544878
FeatureD_DistSubcenter_res,-848.2498874053431,0.19254114119032065
FeatureD_UrbPopDensity_res,-0.3185753161662997,0.5224048779397978
FeatureD_UrbBuildDensity_res,-0.0002876703741373265,0.3907437535230638
FeatureD_IntersecDensity_res,30.94724997381127,0.6759083527306119
FeatureD_street_length_res,-41.17060689801919,0.16227514254072442
FeatureD_LU_Comm_res,-12530.289091468612,0.0007134125813544595
FeatureD_LU_UrbFab_res,-1034.1778709373962,0.7352517663935119
FeatureD_bike_lane_share_res,-15254.98339864487,0.3376930032386331
