param,coefficient,p
Intercept,7921.033677485156,0.08066044224494082
FeatureD_Education[T.Primary/None],-6343.609265290463,0.07531888922412251
FeatureD_Education[T.Secondary],-2044.8694395471332,0.5525443976734207
FeatureD_Education[T.University],-1042.4544844721397,0.7062419859219515
FeatureD_Occupation[T.Retired],336.7947621835258,0.6332416406202622
FeatureD_Occupation[T.Student_3rdLevel],-677.2779682814385,0.4544396697631533
FeatureD_Occupation[T.Student_School],-2866.899335442943,0.01920172867169869
FeatureD_Occupation[T.Unemployed/Other],-284.17015643524746,0.6153414798863278
FeatureD_Season[T.Spring],966.9827177870263,0.12000432423186133
FeatureD_Season[T.Winter],638.8896546241671,0.1900947014865606
FeatureD_HHSize,363.8833655268397,0.023215284672670616
FeatureD_Sex,-1380.2431497955486,0.0003551157158943174
FeatureD_Age,-43.65688861214738,0.03180189771720458
FeatureD_Commute_Trip,7455.290871990633,1.827113943568163e-36
FeatureD_DistCenter_res,533.9342502769789,0.00014712763388489698
FeatureD_DistSubcenter_res,-35.13197771781075,0.6795842110222416
FeatureD_UrbPopDensity_res,-0.0692113871771404,0.2929464431464067
FeatureD_UrbBuildDensity_res,-0.0001496743053090198,0.26739901183987747
FeatureD_IntersecDensity_res,-17.74664432809651,0.33396347511281005
FeatureD_street_length_res,95.99594669211427,3.362606635579976e-05
FeatureD_LU_Comm_res,-1603.6315190811747,0.4728692304370968
FeatureD_LU_UrbFab_res,-960.8949350389736,0.5542444631954706
FeatureD_bike_lane_share_res,-18323.01125316872,0.12665161999186547
