param,coefficient,p
Intercept,24544.394324360663,1.4800584883851721e-05
FeatureD_Education[T.Primary/None],-13750.495345648687,0.003765618143163027
FeatureD_Education[T.Secondary],-7768.463458260481,0.0840399742592848
FeatureD_Education[T.University],-6217.320547628789,0.16382389750351256
FeatureD_Occupation[T.Retired],224.6959234725361,0.6879119009886812
FeatureD_Occupation[T.Student_3rdLevel],916.8339699867907,0.44214420968434803
FeatureD_Occupation[T.Student_School],-5572.613765652924,9.393641126084228e-05
FeatureD_Occupation[T.Unemployed/Other],245.07286062333867,0.6819578522003091
FeatureD_Season[T.Spring],-619.0951910779496,0.4466584235081566
FeatureD_Season[T.Winter],-633.5759698408474,0.17458447487551407
FeatureD_HHSize,567.3663672007435,0.002204546342933096
FeatureD_Sex,-1640.4534363046987,0.00015101663947905754
FeatureD_Age,-79.77254959306488,0.0005026362223288049
FeatureD_Commute_Trip,8490.298634437439,5.795675513745049e-39
FeatureD_DistCenter_res,929.6257671894336,5.2959166671722854e-08
FeatureD_DistSubcenter_res,223.03732746215468,0.3456402532049054
FeatureD_UrbPopDensity_res,0.08864293652361628,0.5850055165861855
FeatureD_UrbBuildDensity_res,-0.00021667155526468686,0.23936861996470019
FeatureD_IntersecDensity_res,-42.89899072765779,0.12391357673834742
FeatureD_street_length_res,33.67152088621157,0.07757514057481713
FeatureD_LU_Comm_res,1548.3769434253973,0.6087432473292462
FeatureD_LU_UrbFab_res,-2597.3829509325137,0.2036050198335715
FeatureD_bike_lane_share_res,-2971.6282685677897,0.03773912141328091
