param,coefficient,p
Intercept,5783.772808803196,0.07386528433521569
FeatureD_Education[T.Primary/None],-240.62955212851801,0.7972579736670294
FeatureD_Education[T.Secondary],2926.0698872988187,0.2158308116583295
FeatureD_Education[T.University],4624.36041423427,0.05191607379990351
FeatureD_Occupation[T.Retired],-647.003427758527,0.18065406968151612
FeatureD_Occupation[T.Student_3rdLevel],6164.726867932757,2.7872512680380655e-24
FeatureD_Occupation[T.Student_School],-3536.702498017606,1.8040758149688359e-09
FeatureD_Occupation[T.Unemployed/Other],-431.04809378724144,0.34319918621118695
FeatureD_HHSize,-104.71943538875672,0.1786726123945786
FeatureD_Sex,-1896.321399917696,5.06279604437848e-22
FeatureD_Age,-23.231746167755958,0.034024992891837746
FeatureD_Commute_Trip,7121.520343776493,5.126577989565591e-127
FeatureD_DistCenter_res,448.9971091696368,3.8342585202008906e-23
FeatureD_DistSubcenter_res,204.61416886446884,0.0005727156365042643
FeatureD_UrbPopDensity_res,-0.054786392804501635,0.010844817030257258
FeatureD_UrbBuildDensity_res,5.4078988979788464e-05,0.12306366359316911
FeatureD_IntersecDensity_res,-12.530316966128012,0.2794258412690198
FeatureD_street_length_res,-10.780947074761507,0.45518274246846885
FeatureD_LU_Comm_res,-747.9894576380486,0.5668841028951488
FeatureD_LU_UrbFab_res,1070.2364193603116,0.30479395215919025
FeatureD_bike_lane_share_res,644.5033196290034,0.5869509373511075
