param,coefficient,p
Intercept,37912.295034149996,3.7402689321417353e-06
FeatureD_Education[T.Primary/None],-1817.0072896253278,0.5406051614771467
FeatureD_Education[T.Secondary],-8.344660310903464,0.7314581549214154
FeatureD_Education[T.University],1693.3141726308306,0.09939356348334936
FeatureD_Occupation[T.Pre-School],-9884.780635640227,0.009860243148079264
FeatureD_Occupation[T.Retired],-2687.047132918935,0.15168056099145028
FeatureD_Occupation[T.Student_3rdLevel],-3991.5807000280747,0.14122161084147444
FeatureD_Occupation[T.Student_School],-5551.498334159061,0.11893326327771436
FeatureD_Occupation[T.Unemployed/Other],-5687.87444437728,0.0024803832230222466
FeatureD_Season[T.Spring],628.3751171867513,0.5176857703336148
FeatureD_Season[T.Summer],216.30502790118808,0.6889886825640515
FeatureD_Season[T.Winter],-565.9086827201787,0.5196906638070273
FeatureD_HHSize,-206.71909542304263,0.5506624456114231
FeatureD_Sex,-1408.1907990787818,0.05811461650038912
FeatureD_Age,-51.006927022168156,0.24010699192232157
FeatureD_Commute_Trip,4352.774397207288,0.00036236733033135786
FeatureD_DistCenter_res,2033.4712820046238,0.00016022987940662026
FeatureD_DistSubcenter_res,-2316.486325523888,0.0015189438159031573
FeatureD_UrbPopDensity_res,-3.1733379974588924,0.008564492095072367
FeatureD_UrbBuildDensity_res,0.0023231728418675684,0.24901023586850898
FeatureD_IntersecDensity_res,-310.7281033228321,0.0006434571604977772
FeatureD_street_length_res,-67.48925588795007,0.17395501544536188
FeatureD_LU_Comm_res,2175.5379781729584,0.5662957431620989
FeatureD_LU_UrbFab_res,8559.522716642965,0.0020197762818747423
FeatureD_bike_lane_share_res,17361.098981362138,0.00947819514673564
