param,coefficient,p
Intercept,9776.06570322007,0.02014866329888673
FeatureD_Education[T.Primary/None],-4261.935117833514,0.1977082657110035
FeatureD_Education[T.Secondary],2431.4276436376213,0.4438899566133119
FeatureD_Education[T.University],4253.2333205917,0.17358501915495922
FeatureD_Occupation[T.Retired],-1036.28495935696,0.3042993921892336
FeatureD_Occupation[T.Student_3rdLevel],536.6831737801629,0.6015284338669074
FeatureD_Occupation[T.Student_School],-3015.0618826759596,0.025314542724549898
FeatureD_Occupation[T.Unemployed/Other],-1339.500516020323,0.1363545097394025
FeatureD_Season[T.Spring],-646.5314762040593,0.31230622613518316
FeatureD_Season[T.Winter],-813.3905202306295,0.1603205257285733
FeatureD_HHSize,508.6095471496381,0.00529929161653911
FeatureD_Sex,-1966.9015505092043,5.890068972216586e-06
FeatureD_Age,-60.46322737067151,0.0065860192196274744
FeatureD_Commute_Trip,10107.118538494418,2.712092552812903e-54
FeatureD_DistCenter_res,460.4514211793917,3.219105665715753e-07
FeatureD_DistSubcenter_res,329.51279329154204,0.00756468893794608
FeatureD_UrbPopDensity_res,-0.08917161810764447,0.5974167505052389
FeatureD_UrbBuildDensity_res,-0.00016124029240986465,0.19900771581687382
FeatureD_IntersecDensity_res,-2.3545747036189213,0.7450831033757019
FeatureD_street_length_res,75.0614030104608,9.448779991350396e-07
FeatureD_LU_Comm_res,-4821.031634992466,0.05734162709112501
FeatureD_LU_UrbFab_res,-3775.7700615503,0.02420951399268705
FeatureD_bike_lane_share_res,-3408.0484172714987,0.4411922866576186
