param,coefficient,p
Intercept,26308.198868779677,6.862920838924678e-06
FeatureD_Education[T.Primary/None],-7202.725134980687,7.229498798911041e-06
FeatureD_Education[T.Secondary],393.9279262526094,0.5840492908739047
FeatureD_Education[T.University],-227.45090969095105,0.6647439736955387
FeatureD_Occupation[T.Pre-School],-5877.554899342612,0.18762367260189264
FeatureD_Occupation[T.Retired],-3395.3177537623865,0.011537553016651762
FeatureD_Occupation[T.Student_3rdLevel],931.268292902471,0.5186728627137869
FeatureD_Occupation[T.Student_School],-2348.0116226206633,0.19298883357645524
FeatureD_Occupation[T.Unemployed/Other],-1904.9609767454756,0.1133051193140774
FeatureD_Season[T.Spring],499.3874404646896,0.6001904899839693
FeatureD_Season[T.Summer],286.8068525671526,0.6708839574562435
FeatureD_Season[T.Winter],-1332.104219016884,0.057994019199095526
FeatureD_HHSize,-10.771715550343986,0.6599274256725568
FeatureD_Sex,-2536.1748605512344,2.7183245928327806e-05
FeatureD_Age,1.9573807443533497,0.7049315237032368
FeatureD_Commute_Trip,4523.023948915168,4.3217497637275997e-07
FeatureD_DistCenter_res,605.594238274036,0.0004752117603307066
FeatureD_DistSubcenter_res,-81.59571064897803,0.593300619696668
FeatureD_UrbPopDensity_res,-0.29917274006053785,0.02184748766290759
FeatureD_UrbBuildDensity_res,2.056138666453167e-05,0.6362426951303862
FeatureD_IntersecDensity_res,-65.95689908592301,0.0535069003793023
FeatureD_street_length_res,0.6695985732842302,0.7045964594491889
FeatureD_LU_Comm_res,-11012.752323272824,0.020157909081250796
FeatureD_LU_UrbFab_res,3674.9174327749192,0.39450289563303204
FeatureD_bike_lane_share_res,-3889.4735851470377,0.5273079550127314
