param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,-0.6310865738633438,5.400762721766863,-0.9932214286623259,0.7078959862272033,0.09238075025353379,0.4860873089586401
Trip_Time[T.Daytime Off-Peak],-0.3894272105898055,0.1287016484620191,0.2662689158779746,0.13196397444189065,0.584928611031859,0.1995966816928855
Trip_Time[T.Evening],0.2383033696010657,-0.11890506554845436,0.39288456517352477,0.5686431942416859,0.7044972292464633,0.32219154960017726
Trip_Time[T.Lunch],-0.22391314236936338,0.03802734847337594,-0.356146500034591,0.6297699583071021,0.8149714483984907,0.2597941341914722
Trip_Time[T.Nighttime Off-Peak],0.5709475111572929,1.6955274172548764,0.10270661333185084,0.5335569014541668,0.16821816228425884,0.839032719603357
Trip_Time[T.PM Rush],-0.3877687075321802,-0.43891848294558944,-0.38139327820806584,0.21327195792781567,0.19699991825440621,0.19680555595642374
Season[T.Spring],-0.14153972291635677,-0.08041075738212565,-0.24526698951156092,0.6121144314765897,0.7033603339985339,0.2688269270518832
Season[T.Summer],0.008288969254481552,-0.2022940454267087,0.05000995964587471,0.7584496695978671,0.3752500530080568,0.733001066373863
Season[T.Winter],-0.5101391096319394,-0.3875317910085276,-0.028678433447438867,0.06542226665152735,0.11591561922160785,0.7922988574164614
Trip_Purpose_Agg[T.Home↔Leisure],1.1408633996782611,1.993500651052828,0.9609538690840763,0.05522770933401873,0.0038746329824000812,0.04802804390168343
Trip_Purpose_Agg[T.Home↔School],0.4489772220925927,1.2326247495138813,0.9058872120418268,0.324754171987461,0.030861474480238453,0.04923432627692684
Trip_Purpose_Agg[T.Home↔Shopping],0.6484046699684192,1.1756090506699748,1.2403525664481907,0.15704102243285703,0.01968655696068586,0.016928894025531094
Trip_Purpose_Agg[T.Home↔Work],1.6005141675314638,0.5629528359287033,1.7358479942058425,9.12642840954239e-06,0.15443908711137727,0.0006544737875978155
Trip_Purpose_Agg[T.Other],0.33188411845851856,1.054716346708274,0.7598320116326946,0.6199495793951503,0.18242647867562667,0.3677330368981207
Occupation[T.Employed_PartTime],0.313944840449778,-0.635789744503731,0.18801701509100435,0.23828660809644509,0.06725665065291658,0.4262113881586356
Occupation[T.Home_Partner],-0.053949142594479596,-0.11269050929140659,0.1876554782697638,0.8849643330743425,0.7852355835272588,0.626794373527954
Occupation[T.Other],0.09907479615760065,-0.45424401080583976,0.09330896433713957,0.6576546226387939,0.32576554373517086,0.7613064391747045
Occupation[T.Pre-School],0.09874924958702078,-0.38698787574918286,-0.1094852537086063,0.9999999999999996,0.9999999946106651,0.9999999979651921
Occupation[T.Retired],0.11151710700218288,-0.4722195768938471,0.3422113786921046,0.8255060855517623,0.2672368760022107,0.37800594916568414
Occupation[T.Student_3rdLevel],1.111414119492522,0.014580401631271315,1.3640073957175738,0.13362628038783572,0.8230378745416341,0.01908857674397952
Occupation[T.Student_School],1.6068403135546,-0.595701262457771,1.7196900502859374,0.03961489192185743,0.3719710411864207,0.005273307721413401
Occupation[T.Trainee],-5.029869879931719,-2.3228408452235527,0.6918142558734964,0.5222966912391119,0.6021501478834704,0.38166863887707797
Occupation[T.Unemployed],-1.0951121360152287,-1.8500022022391696,-0.08271306867556157,0.26439497231221426,0.09871223559333095,0.8573564375519969
Education[T.No diploma yet],-2.363153394020062,-0.16817972613680732,-2.635946699602643,7.482831463917876e-05,0.7514663221794113,3.0509052517177404e-05
Education[T.Pre-School],0.09874386282584025,-0.3869876118358556,-0.10948522248528297,0.9999999999999999,0.9999999946106866,0.9999999979651917
Education[T.Secondary],-0.231672996123551,-0.04438343335396891,0.185328057541318,0.5584727836353098,0.8181515441568329,0.5658154684325887
Education[T.University],0.8338748905656976,0.1569445619182519,0.5686239985780928,0.08503939808862343,0.6130142143512299,0.12857437431672716
Education[T.Unknown],0.16022067591395586,-0.9072248821481457,0.4336888805356412,0.6663671188920752,0.2901441763583564,0.5054674660493899
Sex,-0.13635087858555298,-0.056881833151009774,0.12826430711741157,0.42605578212982725,0.729292942854036,0.3597240454378369
Age,-0.002144602696913596,-0.013855466295683025,-0.0211876059549361,0.7612261063047571,0.22882429373026034,0.0542702035027486
Trip_Distance,-0.0003731530875581419,-0.0015989099536781212,-2.8096749521082562e-05,3.6697330469249734e-34,1.4897438831136445e-76,0.007632242521319066
