param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,6.090235445439511,8.750156007177202,-0.3964578045116573,0.22115072609849956,0.03465281956270936,0.6595305493988711
Trip_Time[T.Daytime Off-Peak],-0.29151742276291337,0.05335450651134362,-0.3139540301780727,0.31102402565767784,0.7926587103142109,0.1321816733064998
Trip_Time[T.Evening],-0.4900168440782452,-0.23099324896846785,-0.7549779879645929,0.5264688233353698,0.6148296571182698,0.1849318930740361
Trip_Time[T.Lunch],-0.08331770134666135,-0.13156177501120905,-0.1766478074816944,0.7435243756273313,0.5992450744115068,0.5655537409108333
Trip_Time[T.Nighttime Off-Peak],0.09982316362347252,0.07783758019273382,0.405145301852383,0.7367299321424995,0.8489007479585249,0.3004685962955882
Trip_Time[T.PM Rush],-0.46576730666920896,-0.4671282212322297,-0.4161685542583089,0.19504561404752288,0.15700552178013674,0.09476072741181232
Season[T.Spring],-0.22606849376934351,-0.2797781752922126,-0.017181591326376706,0.26158891353514263,0.14287172662613873,0.8169066809364363
Season[T.Summer],0.13121613017543138,-0.31701876313917954,0.042691124442866824,0.46016687008811985,0.1324360831726348,0.7978343994477617
Season[T.Winter],-0.2566064556806568,-0.24766312507512245,0.03327795605263949,0.4732888240419947,0.1712064743451239,0.7272071122967115
Trip_Purpose_Agg[T.Home↔Leisure],0.9941822212070219,2.2385478799500125,1.0689753445264571,0.12703974950246869,0.011412333043340786,0.15963988230514983
Trip_Purpose_Agg[T.Home↔School],0.15136201372076755,0.48461865132370263,1.1892323748217932,0.7157956232322936,0.09522178401818031,0.1203916608008999
Trip_Purpose_Agg[T.Home↔Shopping],0.18856370224256847,0.7595111111224104,0.8121538842678014,0.5516880476588756,0.1128024029379905,0.18058670944613417
Trip_Purpose_Agg[T.Home↔Work],1.358755957492418,1.0403444973232754,1.5554311918910613,0.1148834833324767,0.08489544545448995,0.040074635301727876
Trip_Purpose_Agg[T.Other],-0.12642120855027159,0.5313026156713802,0.8114593031549666,0.7117659744084203,0.3532190466851767,0.2604907110654983
