param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,-0.5299559216184258,5.120412131682867,-1.608467037353982,0.8020329911601475,0.12957750607208504,0.38109307744178156
Trip_Time[T.Daytime Off-Peak],-0.3491407192643318,0.1467728706760513,0.28722237152923,0.2316610082956432,0.4835796923947355,0.18290154210651355
Trip_Time[T.Evening],0.24566574176057282,-0.09082076018762597,0.38490317151482767,0.6017986974346952,0.8021938578848188,0.32990845679919445
Trip_Time[T.Lunch],-0.24961356158285275,-0.01592932004176486,-0.3436925570056401,0.4980118743973302,0.8555834170928495,0.3011600511280029
Trip_Time[T.Nighttime Off-Peak],0.7700364366691663,1.7893362937658033,0.33488378740356134,0.29470862075763277,0.22906247135991492,0.5414152968789154
Trip_Time[T.PM Rush],-0.4187673668668792,-0.48345361348656934,-0.4243632636935246,0.12908178066584414,0.09473119541774781,0.12472526050657154
Season[T.Spring],-0.12148824547594536,-0.0999821535328287,-0.2065310529290863,0.5815875952002422,0.6586001189290852,0.24821650434610468
Season[T.Summer],0.005489227193302006,-0.21100699420082936,0.07327339726791508,0.7979463421195706,0.3637977148402239,0.7154523361098688
Season[T.Winter],-0.48693378512908314,-0.3743296017337327,0.036476355208814266,0.14690371711277841,0.11601552469362589,0.677582080662101
Trip_Purpose_Agg[T.Home↔Leisure],1.184967344007286,1.986880653334621,0.928980131902316,0.00033559203905375714,6.798687108419318e-08,0.041570576390324444
Trip_Purpose_Agg[T.Home↔School],0.5201935702438711,1.2447264243157603,0.905117908353666,0.24082469506682347,0.0034208244621625476,0.04637224043336831
Trip_Purpose_Agg[T.Home↔Shopping],0.6996537828328716,1.18067036433654,1.229068943578657,0.11887111260461682,0.0342612918867273,0.007343193988299557
Trip_Purpose_Agg[T.Home↔Work],1.6864535221595633,0.6231073861175591,1.8035062574562597,0.04487979020011562,0.1088207889266368,2.5369161738479056e-05
Trip_Purpose_Agg[T.Other],0.3321160200061235,0.9502902090650724,0.6414661847592835,0.6768385175105435,0.18135773390276835,0.40187729189667143
Occupation[T.Employed_PartTime],0.27835961413738197,-0.6419830161978423,0.17705676086342106,0.26628865229633764,0.04028741956586977,0.4620317691260751
Occupation[T.Home_Partner],-0.06411521890211813,-0.1244065985720864,0.15508195711544712,0.8650631705842795,0.767190580134989,0.6352483744399762
Occupation[T.Other],0.13785817552167956,-0.38673753674148176,0.1685885014105197,0.7710579371225176,0.4063460540728993,0.6467674754992738
Occupation[T.Pre-School],0.18144914540431845,-0.2650179075298306,-0.05756539265660025,0.9999999999999973,0.9999999968765739,0.9999999981860871
Occupation[T.Retired],0.12968171547517937,-0.4377425245881146,0.3982775232541512,0.725159601320138,0.27697814651044994,0.20105299556065204
Occupation[T.Student_3rdLevel],1.3371658835404214,0.20978661659997952,1.6551741606018533,0.04066656335619471,0.760564577879144,0.0011656953030534797
Occupation[T.Student_School],1.8818774720161988,-0.25218717660667,2.123893565837222,0.011639601023602402,0.5372618943302813,0.0004988560941732292
Occupation[T.Trainee],-0.9010503618291178,-0.6097546380060728,1.1043054580083764,0.610594377349188,0.6304109605648385,0.15753104406274632
Occupation[T.Unemployed],-1.1429888185805503,-1.9048924632875133,-0.08777311819770958,0.27292389778774484,0.08340909829208597,0.8590896865838662
