param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,-0.903599407197802,2.872265087595688,-1.982374498754372,0.567681491894873,0.007809686839993208,0.09204158653943001
Trip_Time[T.Daytime Off-Peak],-0.29084999420910423,0.2517696262181539,-0.15823747599963525,0.16450468283029418,0.020454435059981242,0.23964063107019692
Trip_Time[T.Evening],-0.5930141416503185,-0.45588774918334324,-0.9653145723819403,0.05697539533567456,0.011340339314260137,5.603789149156253e-05
Trip_Time[T.Lunch],-0.4750321645410196,0.146417475088431,-0.17245606403875682,0.04491515917805773,0.23467081637366188,0.2587415560996408
Trip_Time[T.Nighttime Off-Peak],-0.9791885092307575,-0.3888420957371228,-1.066016244991757,0.15861885248198046,0.2938548962215981,0.025812251689160473
Trip_Time[T.PM Rush],-0.06227375471276811,0.16534391214138583,-0.44359699960024174,0.7228899298995054,0.14953049539862495,0.00718662559897327
Season[T.Spring],0.26838693724145557,0.028593712201168724,0.17437134003443858,0.18883267729573888,0.7222591661250233,0.24662717476503826
Season[T.Winter],-0.12832970001727612,0.10767270026655457,0.05769167202297952,0.4537380504016791,0.24316855155385778,0.6233023138655117
Trip_Purpose_Agg[T.Home↔Leisure],1.7776866535117846,2.0045198675436433,2.0137505538797527,2.2735503653425456e-09,9.481098866873997e-56,6.992113078852241e-19
Trip_Purpose_Agg[T.Home↔School],2.2643897257768297,2.0308031793347627,2.549353490993768,4.928962594250088e-09,4.7310456870681674e-27,6.3495457828133034e-21
Trip_Purpose_Agg[T.Home↔Shopping],1.1129226306249427,1.0965079843700953,1.7311923060793848,0.0011252757633129881,1.087415195957207e-16,4.085200742675379e-13
Trip_Purpose_Agg[T.Home↔Work],1.7221552709104255,0.4961886189100093,1.8831720240656322,3.4036514983547866e-09,0.002777160626338163,7.654320390396773e-14
Trip_Purpose_Agg[T.Other],1.5802123236333863,0.7113742943055645,1.978170279281864,0.00012230755209479178,0.00017486291074845565,9.442275997325304e-13
Occupation[T.Employed_PartTime],0.19715337389677265,0.21613088581885287,0.6199667469327935,0.4705752038916834,0.165303061158254,0.0010230437465297284
Occupation[T.Home_Partner],-1.7450379284446762,0.6941262861124285,0.8857504798631974,0.25076948184346615,0.00023902147254974292,0.0024059728863574208
Occupation[T.Other],-47.65653259702092,0.20516182900668137,0.5047265885007188,0.9982609883138251,0.5393445552887574,0.22072505089555666
Occupation[T.Retired],0.013235071173585383,0.4033668482265562,0.6273772232090414,0.7272719377129252,0.027295924475836893,0.008862495313131732
Occupation[T.Student_3rdLevel],0.5410020124051342,-0.28244410628076433,1.304960497914423,0.15222965158854357,0.224113535338895,2.555667247157308e-07
Occupation[T.Student_School],1.4066615453527995,0.021935059988891194,1.800145163871643,0.012980249364537526,0.7491817953711568,1.3440567653778551e-07
Occupation[T.Trainee],0.6624733485437456,0.14606042330402513,0.9260473023198751,0.3026694764500729,0.7196560008843389,0.02618195626320469
Occupation[T.Unemployed],0.48206961097114515,0.4309046014945261,0.6949452841162295,0.14521606313003044,0.006490923097208382,0.0018345394859006483
Education[T.Elementary],-0.9274145631107054,-0.9965028609399593,-1.346235912143379,0.12896342122808424,0.2999586622302499,0.16533772493396953
