param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,6.63246411290451,4.3258108783798415,-13.885164056704218,0.9999821580030148,0.9999872087595494,0.9996085814038307
Trip_Time[T.Daytime Off-Peak],-0.11640090849482335,0.20461688041960663,-0.3159443500557644,0.6243532653625842,0.43283093053963706,0.20730353701796883
Trip_Time[T.Evening],-0.7675121322164729,-0.8287813575223063,-1.673044690035784,0.07318447635340962,0.06587004473352684,0.02093547410675539
Trip_Time[T.Lunch],-0.36238729227115785,0.455544155393021,-0.15359515782980282,0.30096442667885814,0.24399118470672052,0.6032307369354176
Trip_Time[T.Nighttime Off-Peak],-0.360098740818275,0.8187599158770116,0.19302209158273614,0.534706037444513,0.28168667532690805,0.5798410932449416
Trip_Time[T.PM Rush],-0.32907360623144616,-0.3071063100737641,-0.37722225298173173,0.21999532413730208,0.35975861264890746,0.25372949951584567
Season[T.Spring],-0.514459825801585,-0.12892350014115544,0.3479698651300338,0.008099664314633733,0.5858859893291248,0.08189088538276594
Season[T.Summer],-0.426496026085652,-0.6228162372317436,-0.1809127979232688,0.053163678311942276,0.02435914502950594,0.48703165752175165
Season[T.Winter],-0.6928941020000888,-0.42092707228767917,-0.05759034665625247,0.0006297044524154608,0.06669077949237306,0.7449851048882293
Trip_Purpose_Agg[T.Home↔Leisure],0.825942101149863,2.3163465640862944,-0.12484332798577352,0.01758382058330547,1.7734974297637777e-08,0.727970222023427
Trip_Purpose_Agg[T.Home↔School],0.1669141734264996,0.6172886507492942,0.34760715948921234,0.6323167083381438,0.18001973716169556,0.43370889481164976
Trip_Purpose_Agg[T.Home↔Shopping],-0.03834552525491988,0.98124754750547,-0.030509975884517253,0.760553382077156,0.010789836841078797,0.8693406578462277
Trip_Purpose_Agg[T.Home↔Work],1.5319187207171179,1.4365589210321068,0.9029563496209136,3.5838496992030684e-06,0.002462589114232504,0.03285998052149554
Trip_Purpose_Agg[T.Other],0.029776742379390667,0.20494704088762924,-0.48887054217045967,0.8016710085414605,0.7366557983452486,0.47606238714056415
Occupation[T.Employed_PartTime],-0.0909622174400469,-0.4660049926864608,0.18301168807384727,0.7085762523750736,0.15461357187659552,0.5141713124736266
Occupation[T.Home_Partner],0.05708077277388378,-0.11964382484071907,1.9989457596065543,0.7514698061505103,0.7409813098229951,0.003019884166034081
Occupation[T.Other],-0.5252621966366289,0.84195852002295,0.8848196017224044,0.2979196229294712,0.08075131818541567,0.11110987335018352
Occupation[T.Pre-School],0.21986282720313893,-0.04755344502852443,0.17267188230198885,0.9999999978049896,0.9999999979401243,0.9999999990684079
Occupation[T.Retired],-1.0729290380119547,-0.051307361869222946,0.5964650614943923,0.001984420536260896,0.8389265803689308,0.1288925780543296
Occupation[T.Student_3rdLevel],0.2866944496037979,-0.517760748260161,1.7309719531582473,0.6612517076341253,0.5023797625348166,0.005251512834320968
Occupation[T.Student_School],2.5329251426235984,1.3580102898434492,2.565052003291832,4.701996185508488e-05,0.08524563438162712,0.00019982305057597523
Occupation[T.Trainee],2.6001638094940356,0.4004074274463031,1.9034891563749892,0.0043775275140541066,0.7483726266991391,0.03753973287551011
Occupation[T.Unemployed],1.4160636735417516,0.16297358384063154,2.500267515064735,0.1027169529495179,0.651460484284037,0.0030089244382433267
Education[T.No diploma yet],-2.200131467072388,-1.806797071890718,-3.8597080582811993,4.991336947703274e-07,0.0006588592345161769,7.071506080658262e-06
Education[T.Pre-School],0.21986982001077893,-0.04748376110295146,0.1726713096607277,0.999999996335527,0.9999999981408401,0.9999999990687312
Education[T.Secondary],-0.6613050608357398,-0.11664410052913646,-0.30941400347842973,0.12119411000519487,0.7351939312165409,0.4808616069452214
Education[T.University],-0.14391445559712923,0.1736893899869236,-0.4197883668689205,0.6251698912013769,0.5587282740670927,0.3410633556485113
Education[T.Unknown],0.6884195415594295,-0.20061800180741024,-0.06176103541101567,0.28713022487068685,0.7810780586971705,0.8426066306442704
Sex,0.30060695454866665,0.157658442423225,0.372884519892659,0.04385762326558949,0.37665385003140767,0.016532934443583402
Age,0.024565317123554205,-0.017111773573988666,-0.0002928844933848707,0.00788678295786413,0.15725209902291137,0.7937217811031357
Trip_Distance,-0.0003434298244647682,-0.0016434754995008466,2.954933977269568e-05,1.065295402095525e-34,1.3404410599358797e-63,0.0005354418275463057
CarOwnershipHH,-3.310393904768972,-3.4667952819797185,-3.785426239863979,2.832085709002456e-17,6.342138985975503e-17,1.7306432574238854e-22
HHSize,0.18776244376260612,-0.0029307329714938616,0.009726663884822552,0.013559008986800685,0.753560629863184,0.7450531374167183
UrbPopDensity_res,-0.0018902248800249642,0.0005173937667297404,0.004394644810615875,0.9999989861726819,0.9999989278257146,0.9999906225162627
DistSubcenter_res,-0.7015878053638365,0.3738290977116654,0.8553091660594527,0.9999987033134872,0.9999994782850733,0.9999801993761185
DistCenter_res,0.13908820661361074,-0.15525011433598257,-0.8326977727310795,0.9999994398080632,0.9999995259976607,0.9999961492530414
UrbBuildDensity_res,4.471221967266297e-06,-4.770136750317854e-07,-1.3241294016300161e-05,0.9999962245878775,0.9999998293124959,0.9999840278569377
street_length_res,-0.02515254403891945,-0.0004361747771817804,0.12871875815245198,0.9999962954636445,0.999998393553858,0.9999313955863058
bike_lane_share_res,4.550231330020842,0.21203168536553169,15.009600433751297,0.9999988462479603,0.9999998438973227,0.9999960933367124
LU_UrbFab_res,0.9769068231373179,-0.49999054358165373,12.096846703670355,0.9999998640412248,0.999999945010281,0.9999974474852787
LU_Comm_res,0.8759029230695794,-0.4916007666417619,0.1303044678119856,0.9999996945913566,0.9999999588858957,0.9999999083348419
