param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,-15.853604173177928,-0.4060097708538448,-0.728935456336501,0.9825530384831324,0.11761354056003052,0.5832345951837624
Trip_Time[T.Daytime Off-Peak],-0.1489118086016093,0.33435168555758593,-0.3181224429870641,0.4805388235742547,0.004098810760800551,0.004449017059128781
Trip_Time[T.Evening],-1.044847592870525,-1.0283039959591636,-1.170127802126905,0.0005396894628221571,3.137271728163691e-08,1.0830423834264385e-10
Trip_Time[T.Lunch],-0.13968984514703128,0.005929117380620145,-0.6272467636613738,0.5199665854912049,0.7653455980067475,4.089070776636957e-06
Trip_Time[T.Nighttime Off-Peak],0.0015674314521142995,0.11775308322404111,-1.0218683713355727,0.8057670982196354,0.6283661389751661,0.009380388987166506
Trip_Time[T.PM Rush],-0.24317214918988758,0.22711165879321996,-0.8213213418507804,0.2569778024890181,0.050933775104621985,2.239264427621451e-09
Season[T.Spring],0.1602153304038491,0.06524705823210954,-0.16883800899489101,0.40102705502192365,0.5151645872520351,0.1204356531217804
Season[T.Winter],-0.22591382325459666,0.04604393968256424,-0.030170108956691987,0.1927622660762296,0.5971882499193146,0.6995746039608748
Trip_Purpose_Agg[T.Home↔Leisure],1.5181125057576272,2.325518948308421,1.5037470844746632,1.8593392506710494e-08,6.436431352226802e-65,2.8726356476285533e-19
Trip_Purpose_Agg[T.Home↔School],1.3615963472100383,2.174098008453638,2.1776263534303664,0.000150963973963752,1.1536638896671988e-24,1.5533168959460368e-25
Trip_Purpose_Agg[T.Home↔Shopping],1.1057611752043086,1.218948435860612,1.181055300479164,0.00016960618783753563,2.1510799532605372e-17,2.63275985197183e-10
Trip_Purpose_Agg[T.Home↔Work],1.6841610721158145,0.8955099252157502,1.0197652758674363,5.718096528991171e-13,3.842536559708297e-08,3.843641510264167e-09
Trip_Purpose_Agg[T.Other],0.9583394216257167,0.9294290011657363,1.6025950852552242,0.013144457254943101,5.902018586460919e-07,8.358467121105928e-16
Occupation[T.Employed_PartTime],0.04811082860705579,-0.2139974049898958,0.6653628813460815,0.6986477450791834,0.2047469016261179,1.8472521597623954e-06
Occupation[T.Home_Partner],-0.3424249475265908,0.893588620864065,0.5680815867770229,0.5409318084434038,5.596570896227795e-06,0.042889098984957
Occupation[T.Other],-24.892524883084903,-0.41461594895729514,0.5671959222234195,0.995884951988261,0.35514940449239957,0.20298133159519624
Occupation[T.Retired],-0.272929489533096,0.5725334221352324,0.7780775512429061,0.41489392467756936,0.0010086549007685657,3.525385884629091e-05
Occupation[T.Student_3rdLevel],0.8297740735642504,-0.40737377661077206,0.651795044490065,0.03374714360176049,0.12646073069614966,0.0027705970183533354
Occupation[T.Student_School],1.6283246396119155,0.10848690574133081,1.862488165415492,0.0008950109835153382,0.7354461951073029,6.56122355423684e-13
Occupation[T.Trainee],0.23479120170613235,0.1351969604792247,0.9061861001522273,0.5280436611912687,0.659656515668919,0.001301849514822832
Occupation[T.Unemployed],-0.17941515876783212,0.3745435742800891,1.035779788955898,0.6008131653340315,0.044293661021433346,2.195545119784709e-09
Education[T.Elementary],14.038932021238216,1.977220008951963,0.7359590938023662,0.9844419171471546,0.4570530069620493,0.5140480065821811
Education[T.No diploma yet],12.210376106068736,0.07641827646777899,-2.069779114388505,0.98676979401107,0.10715846853210882,0.1584825975774681
Education[T.Other],12.04811144379691,3.320669072833455,1.4172865441307139,0.98491972892558,0.2695877559680065,0.18705608391379225
Education[T.Secondary],14.716482281669366,1.8741774217383245,0.7917605397222677,0.9836897158514363,0.3713320877573205,0.45418608936515853
Education[T.University],15.281352790389457,1.5890812059261714,0.7207456906444075,0.9829808997607192,0.20007016040384254,0.5304567385839386
Sex,-0.5002211689899139,0.04260178017080427,0.4169834511289905,0.00012914765666487054,0.5279948850208814,3.5770353505728637e-08
Age,-0.0021571546279401973,-0.006064267046583125,-0.009917590293260989,0.6394678198675934,0.17998470463352423,0.01701525644982378
Trip_Distance,-0.00031166850337833747,-0.001898216175396169,5.137344380598842e-05,2.05681748577783e-29,2.391391695074113e-295,1.052385742316753e-17
CarOwnershipHH,-1.927681668887468,-2.4467430305595745,-3.074446804378974,8.349005546164916e-15,1.508510218438815e-50,2.110541155565788e-104
HHSize,0.12813541652660182,0.03992812493755949,-0.01396858068403945,0.010323507358910328,0.28803186098045264,0.652994723428113
UrbPopDensity_origin,2.405554237789441e-07,6.067852974234111e-05,8.898909653872206e-05,0.7111607392863061,0.11478578519846154,0.01245032989679744
DistSubcenter_origin,-0.05259041855953079,-0.014375617427164145,0.006349120039040799,0.22938347720440003,0.5118570907314952,0.7457284728133056
DistCenter_origin,-0.01890274449447708,-0.011718100868598898,-0.11089621521967252,0.600505393117114,0.45734287309415084,3.8120779127015946e-11
UrbBuildDensity_origin,-2.503892003143792e-08,-4.301791084539547e-08,-6.267224862230831e-08,0.57063981020573,0.09276645352801662,0.011891372375528253
IntersecDensity_origin,-0.001557257460382021,0.0063318789019305745,0.0013053034579215545,0.6507200837927819,0.02872407297704409,0.6018997790691791
street_length_origin,-5.0378524982353086e-05,0.00893489170489433,-0.0008276100224491349,0.779347071193591,0.009662640803920217,0.7144116875706902
bike_lane_share_origin,2.1251230985217116,1.3840306839754144,-1.761639141740697,0.03039685056726936,0.02661303337701647,0.0040057151039990906
LU_UrbFab_origin,0.479493479841205,-0.05267202731155598,-0.9538802163801526,0.3430285936702917,0.7495489595164465,0.0006314666314057286
LU_Comm_origin,-0.2300133116234602,1.000288561955108,0.47100415527824513,0.7753935150196924,0.03616076612669,0.2966438732670238
transit_accessibility_origin,0.0002971233527301607,0.000270471175305326,0.00033233467833181394,0.08135457692119706,0.007623247419919422,0.0008390709296425325
