param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,1.4194528884779007,2.2781280872956358,0.5879885236721818,0.39564651034207665,0.03613981482219475,0.29045477847918977
Trip_Time[T.Daytime Off-Peak],0.022304170640430748,-0.03554837471219973,-0.21304703007230671,0.6663926652369973,0.7014053236518604,0.07013206711974178
Trip_Time[T.Evening],-0.11783524653708666,-0.037445736102323275,-0.4767266208510625,0.8024003782496334,0.6917453936377269,0.056891679129122276
Trip_Time[T.Lunch],-0.11643148960918548,-0.11711231433924195,-0.29453323510023227,0.8085733766108474,0.5115401307128318,0.06829371566535257
Trip_Time[T.Nighttime Off-Peak],0.5820715385702923,0.06351994286412453,0.1301747277625995,0.217478950940011,0.7594628874554294,0.4717993342972198
Trip_Time[T.PM Rush],-0.5413818541833278,-0.518642667521234,-0.5518199162150902,0.15085151109257683,0.01711713044455891,0.014064902692984644
Season[T.Spring],0.5716814919015922,0.13339887973180561,0.04790435504576166,0.02975510480908372,0.3960424413065965,0.728876386384222
Season[T.Summer],0.4010900012200249,0.20577992635626938,-0.13989905600223398,0.16277657935431852,0.19568962705619372,0.2959902248987218
Season[T.Winter],-0.3254204840327794,0.0982698318049261,0.12612373896177226,0.046173343797971236,0.3391850551290678,0.1329727017201073
Trip_Purpose_Agg[T.Home↔Leisure],1.4510493977694787,1.6476541020472588,1.497223140574403,1.576892469597483e-05,1.1550130479763571e-20,8.81977891318153e-15
Trip_Purpose_Agg[T.Home↔School],0.7924738649800047,1.448284109889831,2.279626324280485,0.15480778948678395,0.0007527234607902313,6.631281309828293e-17
Trip_Purpose_Agg[T.Home↔Shopping],0.9819644237035005,1.218226598306986,0.7950279361177827,0.008489499098662158,4.3956475602417943e-10,7.49392023576307e-05
Trip_Purpose_Agg[T.Home↔Work],1.7516675312456034,0.8013858160568351,1.9966974222641751,9.593776709277615e-06,0.004104033451877361,2.4506413034246937e-19
Trip_Purpose_Agg[T.Other],0.8501744346264862,0.980854013363926,1.0617175210252672,0.38722642348712516,0.037343636672139004,0.01887033123352943
Occupation[T.Other],0.02484053608702939,0.6117603340694476,0.47432964508364134,0.8002232349686067,0.005583294106359397,0.0010722686009698873
Occupation[T.Pre-School],0.7557628962449949,-0.17044027018056193,-0.4098842565145462,0.9999999980994227,0.9999999978424118,0.9999999991155513
Occupation[T.Retired],-0.2287723930742395,0.15644133485552175,0.5686775473437184,0.38002803402267077,0.3887593559123008,0.00016240956519239912
Occupation[T.Student_3rdLevel],1.040976541223125,0.33042188186795907,0.895494951391859,0.003988668607782524,0.25126820846917863,8.605723557199988e-06
Occupation[T.Student_School],1.2921309194754889,0.39286347115985015,1.0281974281968376,0.0024482572169693723,0.22497835332608992,4.9383957791962974e-05
Education[T.Elementary],0.9452785300142555,0.19376895262143753,0.46001944219525753,0.07012706556932634,0.6530818146978796,0.14311456159634753
Education[T.No diploma yet],-1.4376702481005508,-0.7397312460039037,-1.2534045076776008,0.026821843508998123,0.018631212000797193,2.8804283321168993e-05
Education[T.Pre-School],0.7557605365137231,-0.170440640976109,-0.40988401401046265,0.9999999981140111,0.9999999978422331,0.9999999991112091
Education[T.Secondary],0.33404337811902507,-0.023777530381570103,0.40549722815657036,0.12163596000910386,0.7756544277702009,4.6511270520268223e-05
Education[T.University],1.0510454331195211,0.044391768598054715,0.4575533479246676,2.146136997175956e-05,0.7603961716664472,2.827862460868835e-06
Education[T.Unknown],-0.10606135680043123,-0.3415721704462677,-0.025627088650560428,0.7901477122773941,0.3864426223782648,0.7528729714030264
Sex,-0.1562067854643527,0.239719524350725,0.5012605826495394,0.3126404548629158,0.013321748798215854,2.259949125974753e-12
Age,-0.0010900314475354408,-0.006579983831652808,-0.015906283045078653,0.8518527688451064,0.23351781768691512,0.00013349508992194085
Trip_Distance,-0.0002161469705130028,-0.0010154965512000412,-5.586701962423377e-06,1.656167405328331e-27,1.6425757331025825e-146,0.2737171918516866
CarOwnershipHH,-1.761022670983655,-1.8686231980890673,-2.1601186594079462,1.5033277193897222e-16,5.525270383543112e-34,9.71061795271897e-64
HHSize,0.12331913202567683,-0.0430013267610266,-0.009719342912810928,0.0896503019568143,0.3877940750903625,0.7697123469563203
UrbPopDensity_res,1.2984654105368758e-05,1.5821388843546852e-05,4.194682534159932e-05,0.67809124407412,0.4304802499570153,0.01229621660758296
DistSubcenter_res,0.006004586160835031,0.0026539723711643346,-0.0278816200825171,0.6919353759186129,0.5534837742651083,0.21729995288451362
DistCenter_res,-0.0647304527724382,-0.1297580716555595,-0.1332286277232799,0.16210400391388896,4.690983825132092e-05,1.6541469732268066e-08
UrbBuildDensity_res,-1.5092269627397916e-08,-1.2668727099954227e-09,3.0368638359998517e-09,0.5568196363656217,0.8530102959356156,0.6911406689754706
IntersecDensity_res,-0.02209398722476073,0.006471366946584502,-0.002139573225653447,0.06973431301376057,0.23382524931569168,0.48856543209694686
street_length_res,-0.009867579956594109,0.00801005987859849,0.00046714959016605154,0.34765924541491106,0.2354331227305316,0.8516218896689043
bike_lane_share_res,3.1490786042737153,-0.01882539789616644,-0.7481856475925732,0.192002972020048,0.7953296644925951,0.37651665448721694
LU_UrbFab_res,-0.8604961326612689,0.08918064543242969,-0.5458139171431272,0.645528978985124,0.6491173188759912,0.38923053889640774
LU_Comm_res,-2.0801205047962434,-0.09976872772195426,0.20629695778048643,0.10083436345941596,0.8589898012908849,0.5547775253547557
transit_accessibility_res,0.0001982260936937773,1.5529057596297126e-05,8.052481302009259e-05,0.15246886446645821,0.7801300777020919,0.165863305588367
