param,bike,walk,transit,bike_p,walk_p,transit_p
Intercept,-2.2069848505204783,3.1743396706047102,0.5914058111684808,0.4104761734725573,0.00019521132679588615,0.13760072548141883
Trip_Time[T.Daytime Off-Peak],0.05446572343151654,0.02152332629305054,-0.09209005866572173,0.7215113041322037,0.7137580056503161,0.16826562935614017
Trip_Time[T.Evening],-0.34217938997423214,-0.37965735378121906,-0.420548704164193,0.23577437583399652,0.006223203400645586,1.5987571552432394e-05
Trip_Time[T.Lunch],0.1445948952553987,0.0003965626636672947,0.0628205729889529,0.609545277408493,0.794803369169101,0.482709613828903
Trip_Time[T.Nighttime Off-Peak],0.10439138493720085,-0.21794819202032759,-0.0035091006168113423,0.7985737602246912,0.2749036590769988,0.7249007300758203
Trip_Time[T.PM Rush],-0.11858611811881054,-0.2950950466574414,-0.09249237819254169,0.6252003119088392,0.010637151822306823,0.21941917983736448
Season[T.Spring],0.5227722324583007,0.25607197073435234,0.02575907710997064,0.1482746205768248,0.11207863134397278,0.6769096258196152
Season[T.Summer],0.3728232529140803,0.22447830929613843,-0.16994801107459553,0.0877680496896928,0.08491016464463592,0.09578633452734413
Season[T.Winter],-0.3356012856722223,0.13085693762594067,0.11972613370160995,0.10420554579135122,0.11786320952898126,0.0459910532997474
Trip_Purpose_Agg[T.Home↔Leisure],1.266951855893858,1.3715689088932974,1.2036775834092084,0.031116467431334994,1.4622961018217721e-12,2.9141325322373793e-09
Trip_Purpose_Agg[T.Home↔School],1.3670984926414618,1.6609173628052065,2.421609602175577,0.09949145366798014,1.7947192848984385e-12,1.292889772035138e-32
Trip_Purpose_Agg[T.Home↔Shopping],0.8258477646564343,0.9835965088895335,0.628588568746581,0.11780481021464091,0.0014500265653816324,0.0018609366830225863
Trip_Purpose_Agg[T.Home↔Work],1.8599225330950415,0.9895417181602908,1.866150701517491,0.004917805059197255,0.003957779763847557,9.692656572190283e-41
Trip_Purpose_Agg[T.Other],0.7129215184561956,0.9202203101967604,0.9777282079851337,0.29579781046276427,0.019967412303868705,0.005196700400397728
Occupation[T.Other],-0.0041045814789390355,0.5267531898272774,0.3795258703130113,0.8787878289197953,4.151257044396856e-05,0.00046428040509575785
Occupation[T.Pre-School],0.69096115516828,-0.08464552695981138,-0.447256489328254,0.9999999999999938,0.9999999983804813,0.9999999899459734
Occupation[T.Retired],-0.29290695739592365,0.15950540590804638,0.48478536710874753,0.21507977286381733,0.3236300968830746,0.029318150033423578
Occupation[T.Student_3rdLevel],1.0282597542066627,0.4288463765181201,0.7781174168294803,0.002474391813631916,0.062444684550675617,0.00024918210333683987
Occupation[T.Student_School],1.1458120038900945,0.4408567631086163,0.9217916541250375,0.09158570692376558,0.0808954869917197,1.1757881537621437e-06
Education[T.Elementary],0.7376253620395885,0.12245794105355529,0.3796840411212105,0.08255784692012758,0.6004950056033185,0.11517417127570849
Education[T.No diploma yet],-1.5834354416784504,-0.7594626132391216,-1.279625902804141,0.15679970382094607,0.003729296580743413,1.3660791646080283e-05
Education[T.Pre-School],0.6909562207466114,-0.08464559419562875,-0.44725649635094666,0.9999999999999979,0.9999999985822722,0.9999999899374498
Education[T.Secondary],0.2951068127310549,0.027258376663535686,0.3693454938487181,0.16648703608377222,0.7005602761171048,1.0496963468007938e-06
Education[T.University],0.9985172434319531,0.07654709965337013,0.4057237785248797,0.00012783830532465997,0.4122600228876193,6.477562323464506e-09
Education[T.Unknown],-0.13717389737457422,-0.19045073511580282,0.027669437779139123,0.6857321542573922,0.532953801811197,0.7468303598059953
Sex,-0.16735558176504342,0.28788270994418863,0.44225633137263837,0.12241913656622781,0.000167759637997887,8.393441509677126e-13
Age,0.0015339307775296153,-0.0055185852706331985,-0.014075333298700012,0.7480974313626945,0.2907249545574211,0.049165714013998815
Trip_Distance,-0.00022702514562111884,-0.0010841536798622527,-4.962872070570363e-06,5.976924757485876e-22,3.121274656890614e-265,0.12517151613222213
CarOwnershipHH,-1.8059283633318925,-1.8149373323579292,-2.1669685021663465,0.025066347348832237,3.576053871785628e-52,8.57105021520554e-92
HHSize,0.105361756266404,-0.031663347298901134,-0.004230096900537593,0.22850441224150542,0.3316563487814675,0.6825330979163242
UrbPopDensity_res,0.0008275837721034335,0.0027417528959512404,0.003850318891548524,0.7615945776157002,0.028380718854013356,0.0001616076770426402
DistSubcenter_res,0.03334262445238164,0.02812622895600629,-0.010415145169087734,0.33164521279197945,0.19680344856413753,0.47602383716737123
DistCenter_res,-0.09153460789095333,-0.13665317080328207,-0.16017421006942786,0.0191661609325544,0.0003065440277350271,2.150639959436985e-11
street_length_res,0.012492721560776913,0.0009683325860216641,0.0015475750699407466,0.21459338972110462,0.7244624904960884,0.40902622884299605
bike_lane_share_res,0.01966712680938348,0.0023298206059457005,-0.005746858155447974,0.02001626772377559,0.6499631153330203,0.19288649966977678
LU_Comm_res,-0.01176446852932584,-0.0005693936353195547,0.008464662788807123,0.14798263970496084,0.6065425330601723,0.013096230482665552
